Command main.py play --no-gui --agents ppo3_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 67, Game Loss -4.0756702515958907e+18, Mean Loss -9.506118461324001e+17, Actions 9, Mean reward 1117.0219310339282, Final reward 0.5,  Reward 851.1666666666666, Record 3898.774193548388
Game 68, Game Loss -4.484210839326294e+18, Mean Loss -1.0025764836480123e+18, Actions 8, Mean reward 1111.183373224606, Final reward 0.0,  Reward 720.0, Record 3898.774193548388
Game 69, Game Loss -4.774207031152214e+18, Mean Loss -1.0572378108696986e+18, Actions 8, Mean reward 1105.514048974974, Final reward 0.0,  Reward 720.0, Record 3898.774193548388
Game 70, Game Loss -5.64166398110702e+18, Mean Loss -1.1227295337834086e+18, Actions 20, Mean reward 1117.9749593864426, Final reward 1.0,  Reward 1977.7777777777778, Record 3898.774193548388
Game 71, Game Loss -7.478732406841672e+18, Mean Loss -1.212250602285826e+18, Actions 22, Mean reward 1132.3368144185586, Final reward 0.5,  Reward 2137.6666666666665, Record 3898.774193548388
Game 72, Game Loss -8.019089595335442e+18, Mean Loss -1.3067900480158433e+18, Actions 20, Mean reward 1142.9988031071896, Final reward 0.0,  Reward 1900.0, Record 3898.774193548388
Game 73, Game Loss -7.140027300149461e+18, Mean Loss -1.3866974678813245e+18, Actions 13, Mean reward 1145.4189108271826, Final reward 1.0,  Reward 1319.6666666666667, Record 3898.774193548388
Game 74, Game Loss -7.443763539031884e+18, Mean Loss -1.4685496489384346e+18, Actions 6, Mean reward 1137.007844464653, Final reward 0.5,  Reward 523.0, Record 3898.774193548388
Game 75, Game Loss -8.035396452286988e+18, Mean Loss -1.5561076081489347e+18, Actions 45, Mean reward 1184.3010732051243, Final reward 0.0,  Reward 4684.0, Record 4684.0
Game 76, Game Loss -9.293536271869673e+18, Mean Loss -1.657915925250179e+18, Actions 11, Mean reward 1182.4747432945305, Final reward 0.5,  Reward 1045.5, Record 4684.0
Game 77, Game Loss -9.378862772231602e+18, Mean Loss -1.7581879497295135e+18, Actions 9, Mean reward 1178.4317812604024, Final reward 0.5,  Reward 871.1666666666666, Record 4684.0
Game 78, Game Loss -9.376192058487734e+18, Mean Loss -1.8558546814068326e+18, Actions 10, Mean reward 1174.8621430391154, Final reward 0.0,  Reward 900.0, Record 4684.0
Game 79, Game Loss -1.232044340462538e+19, Mean Loss -1.9883177950073324e+18, Actions 13, Mean reward 1175.6001749837678, Final reward 0.5,  Reward 1233.1666666666665, Record 4684.0
Game 80, Game Loss -1.0465500218357973e+19, Mean Loss -2.0942826783784305e+18, Actions 10, Mean reward 1172.4676727964709, Final reward 0.5,  Reward 925.0, Record 4684.0
Game 81, Game Loss -1.0821346161571398e+19, Mean Loss -2.2020240976621076e+18, Actions 30, Mean reward 1195.4989360952798, Final reward 1.0,  Reward 3037.9999999999995, Record 4684.0
Game 82, Game Loss -1.2590090934756049e+19, Mean Loss -2.32870790326911e+18, Actions 8, Mean reward 1189.7001685819228, Final reward 0.0,  Reward 720.0, Record 4684.0
Game 83, Game Loss -1.6623964901089477e+19, Mean Loss -2.5009398026904535e+18, Actions 27, Mean reward 1207.643540044791, Final reward 1.0,  Reward 2679.0, Record 4684.0
