Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 92, Game Loss -7.96834607441769e+24, Mean Loss -1.9464425003522254e+24, Actions 18, Mean reward 525.1468493371954, Final reward 0.0,  Reward 248.0, Record 2848.0
Game 93, Game Loss -7.671016841751621e+24, Mean Loss -2.007997123598373e+24, Actions 15, Mean reward 517.1345176238922, Final reward 0.0,  Reward -220.0, Record 2848.0
Game 94, Game Loss -7.639224454801334e+24, Mean Loss -2.0679037896688733e+24, Actions 8, Mean reward 514.8245759470423, Final reward 0.0,  Reward 300.0, Record 2848.0
Game 95, Game Loss -9.016110761510851e+24, Mean Loss -2.1410426799629343e+24, Actions 31, Mean reward 528.5632646212839, Final reward 0.0,  Reward 1820.0, Record 2848.0
Game 96, Game Loss -6.696960732290984e+24, Mean Loss -2.188500243741878e+24, Actions 8, Mean reward 524.5157306148122, Final reward 0.0,  Reward 140.0, Record 2848.0
Game 97, Game Loss -8.830224650862336e+24, Mean Loss -2.2569715313245382e+24, Actions 17, Mean reward 521.3763931857935, Final reward 0.0,  Reward 220.0, Record 2848.0
Game 98, Game Loss -8.079946570220623e+24, Mean Loss -2.3163896469074612e+24, Actions 9, Mean reward 518.097042234918, Final reward 0.0,  Reward 200.0, Record 2848.0
Game 99, Game Loss -8.809587355929874e+24, Mean Loss -2.3819776219222879e+24, Actions 33, Mean reward 520.096062010323, Final reward 0.0,  Reward 716.0, Record 2848.0
Game 100, Game Loss -9.577899434746647e+24, Mean Loss -2.453936929401948e+24, Actions 12, Mean reward 518.8551013902197, Final reward 0.0,  Reward 396.0, Record 2848.0
Game 101, Game Loss -7.873860121889892e+24, Mean Loss -2.5075993726034976e+24, Actions 13, Mean reward 512.8862390002175, Final reward 0.0,  Reward -84.0, Record 2848.0
Game 102, Game Loss -1.020652239114375e+25, Mean Loss -2.583079125897475e+24, Actions 32, Mean reward 511.11284450021543, Final reward 0.0,  Reward 332.0, Record 2848.0
Game 103, Game Loss -6.788439289074015e+24, Mean Loss -2.623907823370493e+24, Actions 5, Mean reward 504.5971858157473, Final reward 0.0,  Reward -160.0, Record 2848.0
Game 104, Game Loss -1.0274771885451962e+25, Mean Loss -2.697473726966823e+24, Actions 16, Mean reward 506.8606744136728, Final reward 0.0,  Reward 740.0, Record 2848.0
Game 105, Game Loss -1.1136013472765314e+25, Mean Loss -2.7778407145188287e+24, Actions 20, Mean reward 514.7953346573521, Final reward 0.0,  Reward 1340.0, Record 2848.0
Game 106, Game Loss -1.1394209090800513e+25, Mean Loss -2.8591271569707583e+24, Actions 17, Mean reward 519.3727371605846, Final reward 0.0,  Reward 1000.0, Record 2848.0
Game 107, Game Loss -1.223270353682797e+25, Mean Loss -2.946730744576805e+24, Actions 32, Mean reward 537.3972910188969, Final reward 0.0,  Reward 2448.0, Record 2848.0
Game 108, Game Loss -1.1852152971194866e+25, Mean Loss -3.029188267047039e+24, Actions 33, Mean reward 548.3102790650182, Final reward 0.0,  Reward 1716.0, Record 2848.0
Game 109, Game Loss -1.1673499713605503e+25, Mean Loss -3.108493990354054e+24, Actions 33, Mean reward 555.6468820093759, Final reward 0.0,  Reward 1348.0, Record 2848.0
Game 110, Game Loss -1.2479305376212843e+25, Mean Loss -3.193683072099078e+24, Actions 31, Mean reward 559.5392866120255, Final reward 0.0,  Reward 983.8113883008423, Record 2848.0
Game 111, Game Loss -1.058318761130633e+25, Mean Loss -3.2602553538484625e+24, Actions 9, Mean reward 551.2551488948001, Final reward 0.0,  Reward -360.0, Record 2848.0
Game 112, Game Loss -1.2550681593641549e+25, Mean Loss -3.34320546203154e+24, Actions 10, Mean reward 543.6546564939537, Final reward 0.0,  Reward -300.0, Record 2848.0
Game 113, Game Loss -1.2186098990847248e+25, Mean Loss -3.421461162078234e+24, Actions 7, Mean reward 540.6134648435647, Final reward 0.0,  Reward 200.0, Record 2848.0
Game 114, Game Loss -1.2058387569938939e+25, Mean Loss -3.497223669371216e+24, Actions 10, Mean reward 538.5028204151124, Final reward 0.0,  Reward 300.0, Record 2848.0
Game 115, Game Loss -1.4278349456274469e+25, Mean Loss -3.5909726168271934e+24, Actions 34, Mean reward 547.6984480636767, Final reward 0.0,  Reward 1596.0, Record 2848.0
Game 116, Game Loss -1.550217909217915e+25, Mean Loss -3.693655264791993e+24, Actions 18, Mean reward 548.5631166148519, Final reward 0.0,  Reward 648.0, Record 2848.0
Game 117, Game Loss -1.530246195870062e+25, Mean Loss -3.7928756894784583e+24, Actions 31, Mean reward 553.6865087805369, Final reward 0.0,  Reward 1148.0, Record 2848.0
Game 118, Game Loss -1.6398795770018354e+25, Mean Loss -3.899705396095329e+24, Actions 18, Mean reward 556.7908604010407, Final reward 0.0,  Reward 920.0, Record 2848.0
Game 119, Game Loss -1.4105302855962009e+25, Mean Loss -3.98546690336739e+24, Actions 12, Mean reward 554.9690884648976, Final reward 0.0,  Reward 340.0, Record 2848.0
Game 120, Game Loss -1.1875817837998426e+25, Mean Loss -4.051219746157375e+24, Actions 6, Mean reward 551.3443460610234, Final reward 0.0,  Reward 120.0, Record 2848.0
Game 121, Game Loss -1.177302335664768e+25, Mean Loss -4.1150362572803734e+24, Actions 5, Mean reward 546.7877812175439, Final reward 0.0,  Reward 0.0, Record 2848.0
Game 122, Game Loss -1.7538075907382693e+25, Mean Loss -4.2250609976168856e+24, Actions 18, Mean reward 549.2567338305148, Final reward 0.0,  Reward 848.0, Record 2848.0
Game 123, Game Loss -1.5226780732373713e+25, Mean Loss -4.3145060890961655e+24, Actions 23, Mean reward 540.7587116042505, Final reward 0.0,  Reward -496.0, Record 2848.0
Game 124, Game Loss -1.6551858781891464e+25, Mean Loss -4.4131941522778785e+24, Actions 30, Mean reward 539.300980059055, Final reward 0.0,  Reward 360.0, Record 2848.0
Game 125, Game Loss -1.7807709659665096e+25, Mean Loss -4.520350423910929e+24, Actions 23, Mean reward 544.5865722185825, Final reward 0.0,  Reward 1200.0, Record 2848.0
Game 126, Game Loss -1.7178479690095817e+25, Mean Loss -4.6208119685971034e+24, Actions 18, Mean reward 545.9787422803398, Final reward 0.0,  Reward 720.0, Record 2848.0
Game 127, Game Loss -1.3639023353089348e+25, Mean Loss -4.6918212687569676e+24, Actions 6, Mean reward 542.6245789552977, Final reward 0.0,  Reward 120.0, Record 2848.0
Game 128, Game Loss -1.8847541093885057e+25, Mean Loss -4.80241295824337e+24, Actions 26, Mean reward 546.5728244322095, Final reward 0.0,  Reward 1048.0, Record 2848.0
Game 129, Game Loss -1.973537596862367e+25, Mean Loss -4.918172330143797e+24, Actions 21, Mean reward 540.7854381963009, Final reward 0.0,  Reward -200.0, Record 2848.0
Game 130, Game Loss -1.9949517303046337e+25, Mean Loss -5.033798251380065e+24, Actions 18, Mean reward 529.7024732870985, Final reward 0.0,  Reward -900.0, Record 2848.0
Game 131, Game Loss -1.938977852424573e+25, Mean Loss -5.143385746235955e+24, Actions 21, Mean reward 527.3383322696397, Final reward 0.0,  Reward 220.0, Record 2848.0
Game 132, Game Loss -1.6029466589389587e+25, Mean Loss -5.225856527303492e+24, Actions 6, Mean reward 524.1009206615364, Final reward 0.0,  Reward 100.0, Record 2848.0
Game 133, Game Loss -2.0960385043227565e+25, Mean Loss -5.344161261655715e+24, Actions 27, Mean reward 526.1753498294948, Final reward 0.0,  Reward 800.0, Record 2848.0
Game 134, Game Loss -2.0001539427177207e+25, Mean Loss -5.453544112944537e+24, Actions 14, Mean reward 526.4277725919613, Final reward 0.0,  Reward 560.0, Record 2848.0
