Game 150, Final reward -0.055999999999999994, Action Counter 25, plot_mean_rewards2.048568853253017,  Reward -7.056, Record 37.73026315789474
Game 151, Final reward 0.15555555555555553, Action Counter 18, plot_mean_rewards2.0294098247914443,  Reward -0.8444444444444441, Record 37.73026315789474
Game 152, Final reward -0.06999999999999999, Action Counter 5, plot_mean_rewards1.9794137075230798,  Reward -5.57, Record 37.73026315789474
Game 153, Final reward 0.10208333333333333, Action Counter 24, plot_mean_rewards1.9540716789336041,  Reward -1.8979166666666663, Record 37.73026315789474
Game 154, Final reward 0.4433333333333333, Action Counter 30, plot_mean_rewards2.067638313053083,  Reward 19.44333333333333, Record 37.73026315789474
Game 155, Final reward 0.15312499999999998, Action Counter 32, plot_mean_rewards2.0649640336140305,  Reward 1.6531250000000002, Record 37.73026315789474
Game 156, Final reward -0.196875, Action Counter 16, plot_mean_rewards1.9863625013472743,  Reward -10.196875, Record 37.73026315789474
Game 157, Final reward -0.24499999999999997, Action Counter 10, plot_mean_rewards1.9148251605743616,  Reward -9.245000000000001, Record 37.73026315789474
Game 158, Final reward 0.15217391304347824, Action Counter 23, plot_mean_rewards1.9005045830583436,  Reward -0.3478260869565215, Record 37.73026315789474
Game 159, Final reward -0.02378640776699029, Action Counter 103, plot_mean_rewards1.8317983504116433,  Reward -9.023786407766991, Record 37.73026315789474
Game 160, Final reward 0.20416666666666666, Action Counter 12, plot_mean_rewards1.8122506523882371,  Reward -1.2958333333333334, Record 37.73026315789474
Game 161, Final reward 1.023076923076923, Action Counter 13, plot_mean_rewards1.8943054739453098,  Reward 15.023076923076923, Record 37.73026315789474
Game 162, Final reward -0.06999999999999999, Action Counter 5, plot_mean_rewards1.8451430944765117,  Reward -6.07, Record 37.73026315789474
Game 163, Final reward -0.11666666666666665, Action Counter 6, plot_mean_rewards1.7932301511566149,  Reward -6.616666666666666, Record 37.73026315789474
Game 164, Final reward -0.175, Action Counter 6, plot_mean_rewards1.7385458209666353,  Reward -7.175, Record 37.73026315789474
Game 165, Final reward -0.13999999999999999, Action Counter 5, plot_mean_rewards1.6877667553850195,  Reward -6.64, Record 37.73026315789474
Game 166, Final reward -0.11666666666666665, Action Counter 6, plot_mean_rewards1.6377400480232622,  Reward -6.616666666666666, Record 37.73026315789474
Game 167, Final reward -0.175, Action Counter 6, plot_mean_rewards1.584969149532105,  Reward -7.175, Record 37.73026315789474
Game 168, Final reward 0.5599999999999999, Action Counter 5, plot_mean_rewards1.5699395712610804,  Reward -0.9400000000000004, Record 37.73026315789474
Game 169, Final reward 1.3299999999999998, Action Counter 5, plot_mean_rewards1.5951470294192989,  Reward 5.83, Record 37.73026315789474
Game 170, Final reward -0.13999999999999999, Action Counter 5, plot_mean_rewards1.5467049880697736,  Reward -6.64, Record 37.73026315789474
Game 171, Final reward -0.21, Action Counter 5, plot_mean_rewards1.4954961869699503,  Reward -7.21, Record 37.73026315789474
Game 172, Final reward 0.35, Action Counter 8, plot_mean_rewards1.4801153951852413,  Reward -1.1500000000000004, Record 37.73026315789474
Game 173, Final reward -0.19444444444444445, Action Counter 9, plot_mean_rewards1.424193083973509,  Reward -8.194444444444445, Record 37.73026315789474
Game 174, Final reward -0.13999999999999999, Action Counter 5, plot_mean_rewards1.3778471467092934,  Reward -6.64, Record 37.73026315789474
Game 175, Final reward 0.6222222222222221, Action Counter 9, plot_mean_rewards1.3878150042836532,  Reward 3.122222222222222, Record 37.73026315789474
Game 176, Final reward 0.63, Action Counter 5, plot_mean_rewards1.3778274190320414,  Reward -0.3700000000000001, Record 37.73026315789474
Game 177, Final reward -0.13999999999999999, Action Counter 5, plot_mean_rewards1.3325289590375102,  Reward -6.64, Record 37.73026315789474
Game 178, Final reward 0.63, Action Counter 5, plot_mean_rewards1.32577317836876,  Reward 0.1299999999999999, Record 37.73026315789474
Game 179, Final reward -0.13999999999999999, Action Counter 5, plot_mean_rewards1.281271652232622,  Reward -6.64, Record 37.73026315789474
Game 180, Final reward 0.5599999999999999, Action Counter 5, plot_mean_rewards1.268931254164663,  Reward -0.9400000000000004, Record 37.73026315789474
Game 181, Final reward 0.63, Action Counter 5, plot_mean_rewards1.2626388162963498,  Reward 0.1299999999999999, Record 37.73026315789474
Game 182, Final reward 0.48999999999999994, Action Counter 5, plot_mean_rewards1.2474045370859304,  Reward -1.5099999999999998, Record 37.73026315789474
Game 183, Final reward 0.5599999999999999, Action Counter 5, plot_mean_rewards1.2354515068286303,  Reward -0.9400000000000004, Record 37.73026315789474
Game 184, Final reward 0.14583333333333334, Action Counter 12, plot_mean_rewards1.2132253211031123,  Reward -2.854166666666667, Record 37.73026315789474
Game 185, Final reward 0.6611111111111111, Action Counter 9, plot_mean_rewards1.2264571361842367,  Reward 3.6611111111111114, Record 37.73026315789474
Game 186, Final reward -0.21, Action Counter 5, plot_mean_rewards1.1810998397531385,  Reward -7.21, Record 37.73026315789474
Game 187, Final reward 0.509090909090909, Action Counter 11, plot_mean_rewards1.193548989856549,  Reward 3.509090909090909, Record 37.73026315789474
Game 188, Final reward 0.04772727272727272, Action Counter 22, plot_mean_rewards1.1688371722122444,  Reward -3.452272727272727, Record 37.73026315789474
Game 189, Final reward 0.35, Action Counter 9, plot_mean_rewards1.161859197756095,  Reward -0.15000000000000036, Record 37.73026315789474
Game 190, Final reward 0.004999999999999999, Action Counter 70, plot_mean_rewards1.1294546756626418,  Reward -4.995, Record 37.73026315789474
Game 191, Final reward 0.41562499999999997, Action Counter 16, plot_mean_rewards1.149277556941895,  Reward 4.915625, Record 37.73026315789474
Game 192, Final reward 0.11018518518518518, Action Counter 54, plot_mean_rewards1.159490617505662,  Reward 3.110185185185185, Record 37.73026315789474
Game 193, Final reward 0.18593749999999998, Action Counter 32, plot_mean_rewards1.172581015860555,  Reward 3.6859374999999996, Record 37.73026315789474
Game 194, Final reward -0.19444444444444445, Action Counter 9, plot_mean_rewards1.1242973794672302,  Reward -8.194444444444445, Record 37.73026315789474
Game 195, Final reward -0.21875, Action Counter 8, plot_mean_rewards1.0763843159827828,  Reward -8.21875, Record 37.73026315789474
Game 196, Final reward 0.25, Action Counter 42, plot_mean_rewards1.1206374572277686,  Reward 9.75, Record 37.73026315789474
Game 197, Final reward 0.13999999999999999, Action Counter 15, plot_mean_rewards1.1055073178509778,  Reward -1.8600000000000003, Record 37.73026315789474
Game 198, Final reward 0.5249999999999999, Action Counter 12, plot_mean_rewards1.120252230387084,  Reward 4.025, Record 37.73026315789474
Game 199, Final reward -0.07777777777777777, Action Counter 9, plot_mean_rewards1.0840812253209289,  Reward -6.0777777777777775, Record 37.73026315789474
Game 200, Final reward 0.09032258064516129, Action Counter 62, plot_mean_rewards1.0941124320975502,  Reward 3.090322580645161, Record 37.73026315789474
Game 201, Final reward -0.04375, Action Counter 8, plot_mean_rewards1.0610882408930848,  Reward -5.54375, Record 37.73026315789474
Game 202, Final reward 0.32439024390243903, Action Counter 41, plot_mean_rewards1.1242729042743191,  Reward 13.824390243902439, Record 37.73026315789474
