Command main.py play --no-gui --agents q_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents q_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 94, Game Loss 0.24622994661331177, Mean Loss 482747008.0, Actions 35, Mean reward 2967.593954466292, Final reward 1.0,  Reward 3143.2293112620046, Record 11224.535333235872
Game 95, Game Loss 0.24008619785308838, Mean Loss 477665472.0, Actions 48, Mean reward 2996.2312486087562, Final reward 2.5,  Reward 5688.13689800039, Record 11224.535333235872
Game 96, Game Loss 0.23345617949962616, Mean Loss 472689792.0, Actions 65, Mean reward 3058.79818592116, Final reward 5.5,  Reward 9002.657230599567, Record 11224.535333235872
Game 97, Game Loss 0.24258050322532654, Mean Loss 467816704.0, Actions 29, Mean reward 3073.9350317494814, Final reward 4.0,  Reward 4527.072231268357, Record 11224.535333235872
Game 98, Game Loss 0.245172381401062, Mean Loss 463043072.0, Actions 42, Mean reward 3089.941316841521, Final reward 2.5,  Reward 4642.5509707692945, Record 11224.535333235872
Game 99, Game Loss 0.22190715372562408, Mean Loss 458365856.0, Actions 20, Mean reward 3086.1948361894683, Final reward 2.0,  Reward 2719.0397322883314, Record 11224.535333235872
Game 100, Game Loss 0.2660425901412964, Mean Loss 453782208.0, Actions 76, Mean reward 3157.3447418105015, Final reward 3.0,  Reward 10201.185398292771, Record 11224.535333235872
Game 101, Game Loss 0.2990996539592743, Mean Loss 449289312.0, Actions 130, Mean reward 3272.331217396966, Final reward 5.0,  Reward 14770.978776043454, Record 14770.978776043454
Game 102, Game Loss 0.30163711309432983, Mean Loss 444884512.0, Actions 32, Mean reward 3279.7398897220623, Final reward 2.0,  Reward 4028.0157945567767, Record 14770.978776043454
Game 103, Game Loss 0.2665160000324249, Mean Loss 440565248.0, Actions 22, Mean reward 3274.1121913773504, Final reward 2.5,  Reward 2700.086960216742, Record 14770.978776043454
Game 104, Game Loss 0.2726917266845703, Mean Loss 436329024.0, Actions 52, Mean reward 3287.9559034274935, Final reward 1.5,  Reward 4713.858244592194, Record 14770.978776043454
Game 105, Game Loss 0.2566220462322235, Mean Loss 432173536.0, Actions 36, Mean reward 3293.8089495632016, Final reward 2.0,  Reward 3902.5257476768556, Record 14770.978776043454
Game 106, Game Loss 0.23091410100460052, Mean Loss 428096416.0, Actions 12, Mean reward 3274.2472299321767, Final reward 1.0,  Reward 1220.2666686745597, Record 14770.978776043454
Game 107, Game Loss 0.23425723612308502, Mean Loss 424095520.0, Actions 48, Mean reward 3304.7373347928906, Final reward 3.0,  Reward 6536.688450028622, Record 14770.978776043454
Game 108, Game Loss 0.26418739557266235, Mean Loss 420168704.0, Actions 108, Mean reward 3377.660794614453, Final reward 1.0,  Reward 11180.470995521668, Record 14770.978776043454
Game 109, Game Loss 0.24353337287902832, Mean Loss 416313952.0, Actions 36, Mean reward 3380.6770948008702, Final reward 1.5,  Reward 3706.437514933955, Record 14770.978776043454
