Game 170, Final reward 0, Action Counter 6, plot_mean_rewards-20.347058823529412,  Reward -9, Record 0
Game 171, Final reward 0, Action Counter 5, plot_mean_rewards-20.263157894736842,  Reward -6, Record 0
Game 172, Final reward 0, Action Counter 5, plot_mean_rewards-20.197674418604652,  Reward -9, Record 0
Game 173, Final reward 0, Action Counter 17, plot_mean_rewards-20.254335260115607,  Reward -30, Record 0
Game 174, Final reward 0, Action Counter 6, plot_mean_rewards-20.155172413793103,  Reward -3, Record 0
Game 175, Final reward 0, Action Counter 5, plot_mean_rewards-20.091428571428573,  Reward -9, Record 0
Game 176, Final reward 0, Action Counter 7, plot_mean_rewards-20.079545454545453,  Reward -18, Record 0
Game 177, Final reward 0, Action Counter 5, plot_mean_rewards-20.016949152542374,  Reward -9, Record 0
Game 178, Final reward 0, Action Counter 6, plot_mean_rewards-19.971910112359552,  Reward -12, Record 0
Game 179, Final reward 0, Action Counter 7, plot_mean_rewards-19.94413407821229,  Reward -15, Record 0
Game 180, Final reward 0, Action Counter 6, plot_mean_rewards-19.9,  Reward -12, Record 0
Game 181, Final reward 0, Action Counter 10, plot_mean_rewards-19.85635359116022,  Reward -12, Record 0
Game 182, Final reward 0, Action Counter 10, plot_mean_rewards-19.846153846153847,  Reward -18, Record 0
Game 183, Final reward 0, Action Counter 18, plot_mean_rewards-19.81967213114754,  Reward -15, Record 0
Game 184, Final reward 0, Action Counter 28, plot_mean_rewards-19.891304347826086,  Reward -33, Record 0
Game 185, Final reward 0, Action Counter 16, plot_mean_rewards-19.92972972972973,  Reward -27, Record 0
Game 186, Final reward 0, Action Counter 9, plot_mean_rewards-19.870967741935484,  Reward -9, Record 0
Game 187, Final reward 0, Action Counter 5, plot_mean_rewards-19.796791443850267,  Reward -6, Record 0
Game 188, Final reward 0, Action Counter 61, plot_mean_rewards-20.04255319148936,  Reward -66, Record 0
Game 189, Final reward 0, Action Counter 8, plot_mean_rewards-19.96825396825397,  Reward -6, Record 0
Game 190, Final reward 0, Action Counter 5, plot_mean_rewards-19.894736842105264,  Reward -6, Record 0
Game 191, Final reward 0, Action Counter 7, plot_mean_rewards-19.869109947643977,  Reward -15, Record 0
Game 192, Final reward 0, Action Counter 10, plot_mean_rewards-19.90625,  Reward -27, Record 0
Game 193, Final reward 0, Action Counter 5, plot_mean_rewards-19.818652849740932,  Reward -3, Record 0
Game 194, Final reward 0, Action Counter 6, plot_mean_rewards-19.762886597938145,  Reward -9, Record 0
Game 195, Final reward 0, Action Counter 8, plot_mean_rewards-19.70769230769231,  Reward -9, Record 0
Game 196, Final reward 0, Action Counter 5, plot_mean_rewards-19.653061224489797,  Reward -9, Record 0
Game 197, Final reward 0, Action Counter 11, plot_mean_rewards-19.65989847715736,  Reward -21, Record 0
Game 198, Final reward 0, Action Counter 5, plot_mean_rewards-19.62121212121212,  Reward -12, Record 0
Game 199, Final reward 0, Action Counter 5, plot_mean_rewards-19.5678391959799,  Reward -9, Record 0
