Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 82, Game Loss -2.9577039271984798e+23, Mean Loss -6.968788998599813e+22, Actions 7, Mean reward -75.02672500550588, Final reward 0.0,  Reward 400.0, Record 1486.0
Game 83, Game Loss -3.169819326335973e+23, Mean Loss -7.266733639147763e+22, Actions 7, Mean reward -66.17098133074076, Final reward 0.0,  Reward 660.0, Record 1486.0
Game 84, Game Loss -2.9239662013819517e+23, Mean Loss -7.5283157659443605e+22, Actions 12, Mean reward -66.57370774347002, Final reward 0.0,  Reward -100.0, Record 1486.0
Game 85, Game Loss -3.134757542228998e+23, Mean Loss -7.808542795198272e+22, Actions 6, Mean reward -69.31989941707627, Final reward 0.0,  Reward -300.0, Record 1486.0
Game 86, Game Loss -2.8966082747975567e+23, Mean Loss -8.054560031322715e+22, Actions 8, Mean reward -69.44408663315677, Final reward 0.0,  Reward -80.0, Record 1486.0
Game 87, Game Loss -2.9693572614502786e+23, Mean Loss -8.303283930823207e+22, Actions 15, Mean reward -61.18062279246058, Final reward 0.0,  Reward 649.4772675074119, Record 1486.0
Game 88, Game Loss -3.46708428362816e+23, Mean Loss -8.60291561979157e+22, Actions 10, Mean reward -58.894479351637166, Final reward 0.0,  Reward 140.0, Record 1486.0
Game 89, Game Loss -3.6467108951977876e+23, Mean Loss -8.915996858687112e+22, Actions 15, Mean reward -67.22150767352889, Final reward 0.0,  Reward -800.0, Record 1486.0
Game 90, Game Loss -2.436771837724594e+23, Mean Loss -9.08768308368173e+22, Actions 5, Mean reward -66.03015758826746, Final reward 0.0,  Reward 40.0, Record 1486.0
Game 91, Game Loss -3.245728759063198e+23, Mean Loss -9.344491845233278e+22, Actions 5, Mean reward -65.08477124114363, Final reward 0.0,  Reward 20.0, Record 1486.0
Game 92, Game Loss -3.18128873357899e+23, Mean Loss -9.588713045826325e+22, Actions 8, Mean reward -63.290371553739895, Final reward 0.0,  Reward 100.0, Record 1486.0
Game 93, Game Loss -2.8097581574235676e+23, Mean Loss -9.787733418399306e+22, Actions 5, Mean reward -62.394776160688934, Final reward 0.0,  Reward 20.0, Record 1486.0
Game 94, Game Loss -4.25896337503579e+23, Mean Loss -1.0136689431206556e+23, Actions 17, Mean reward -65.85866152068161, Final reward 0.0,  Reward -388.0, Record 1486.0
Game 95, Game Loss -4.1746959819761056e+23, Mean Loss -1.046942888247557e+23, Actions 19, Mean reward -67.81804403099022, Final reward 0.0,  Reward -252.0, Record 1486.0
Game 96, Game Loss -3.944767044872511e+23, Mean Loss -1.0771285349659854e+23, Actions 7, Mean reward -68.98660607233407, Final reward 0.0,  Reward -180.0, Record 1486.0
Game 97, Game Loss -4.5563025516498365e+23, Mean Loss -1.1129962832622746e+23, Actions 8, Mean reward -67.03829054581516, Final reward 0.0,  Reward 120.0, Record 1486.0
Game 98, Game Loss -4.731086532612145e+23, Mean Loss -1.1499155319995623e+23, Actions 18, Mean reward -67.1705528871844, Final reward 0.0,  Reward -80.0, Record 1486.0
Game 99, Game Loss -5.203871539189738e+23, Mean Loss -1.190864601683421e+23, Actions 11, Mean reward -68.31024427216234, Final reward 0.0,  Reward -180.0, Record 1486.0
Game 100, Game Loss -4.025429036214508e+23, Mean Loss -1.219210257738091e+23, Actions 5, Mean reward -67.4271418294407, Final reward 0.0,  Reward 20.0, Record 1486.0
Game 101, Game Loss -5.977768297717233e+23, Mean Loss -1.2663246652398274e+23, Actions 21, Mean reward -69.25459587073337, Final reward 0.0,  Reward -252.0, Record 1486.0
Game 102, Game Loss -5.032835273693342e+23, Mean Loss -1.303251299880504e+23, Actions 9, Mean reward -68.37955081317716, Final reward 0.0,  Reward 20.0, Record 1486.0
Game 103, Game Loss -5.620728323578853e+23, Mean Loss -1.3451684633402623e+23, Actions 7, Mean reward -67.52149692178709, Final reward 0.0,  Reward 20.0, Record 1486.0
Game 104, Game Loss -7.205379660272214e+23, Mean Loss -1.401516691229989e+23, Actions 30, Mean reward -54.48763637446222, Final reward 0.0,  Reward 1288.0, Record 1486.0
Game 105, Game Loss -7.098309281291257e+23, Mean Loss -1.455771826156899e+23, Actions 19, Mean reward -58.29251602803877, Final reward 0.0,  Reward -454.0, Record 1486.0
Game 106, Game Loss -5.908717306790538e+23, Mean Loss -1.4977807729770632e+23, Actions 5, Mean reward -57.55390738626482, Final reward 0.0,  Reward 20.0, Record 1486.0
Game 107, Game Loss -6.41193475734614e+23, Mean Loss -1.5437074911850695e+23, Actions 9, Mean reward -57.01602040134645, Final reward 0.0,  Reward 0.0, Record 1486.0
Game 108, Game Loss -6.899789889140825e+23, Mean Loss -1.5933007699937032e+23, Actions 5, Mean reward -58.339946138371026, Final reward 0.0,  Reward -200.0, Record 1486.0
Game 109, Game Loss -9.578051764500444e+23, Mean Loss -1.6665554208125862e+23, Actions 51, Mean reward -39.95150626554193, Final reward 0.0,  Reward 1946.0, Record 1946.0
Game 110, Game Loss -9.963399204168653e+23, Mean Loss -1.741981347083817e+23, Actions 11, Mean reward -37.40649257221882, Final reward 0.0,  Reward 240.0, Record 1946.0
Game 111, Game Loss -1.2478356233584176e+24, Mean Loss -1.8387053364248383e+23, Actions 21, Mean reward -49.50192957607271, Final reward 0.0,  Reward -1380.0, Record 1946.0
Game 112, Game Loss -1.1199774211310527e+24, Mean Loss -1.9222863809013117e+23, Actions 12, Mean reward -46.381376633429205, Final reward 0.0,  Reward 300.0, Record 1946.0
Game 113, Game Loss -1.0110154582490059e+24, Mean Loss -1.994745335738031e+23, Actions 7, Mean reward -49.510744981805935, Final reward 0.0,  Reward -400.0, Record 1946.0
Game 114, Game Loss -1.2603344453898604e+24, Mean Loss -2.0878032148383874e+23, Actions 9, Mean reward -47.14661563986027, Final reward 0.0,  Reward 220.0, Record 1946.0
Game 115, Game Loss -9.384113073603003e+23, Mean Loss -2.1512493859568277e+23, Actions 5, Mean reward -48.475775503861485, Final reward 0.0,  Reward -200.0, Record 1946.0
Game 116, Game Loss -8.169793454844259e+23, Mean Loss -2.203133375679927e+23, Actions 5, Mean reward -45.98891537020751, Final reward 0.0,  Reward 240.0, Record 1946.0
Game 117, Game Loss -1.4236292032707916e+24, Mean Loss -2.3059809995062766e+23, Actions 8, Mean reward -39.100121221744196, Final reward 0.0,  Reward 760.0, Record 1946.0
Game 118, Game Loss -1.3784018220273219e+24, Mean Loss -2.403252446418001e+23, Actions 17, Mean reward -44.02300155037348, Final reward 0.0,  Reward -620.0, Record 1946.0
Game 119, Game Loss -1.325078625978503e+24, Mean Loss -2.4944080050357562e+23, Actions 18, Mean reward -44.93037128524429, Final reward 0.0,  Reward -152.0, Record 1946.0
Game 120, Game Loss -1.2665795329499395e+24, Mean Loss -2.579169533046556e+23, Actions 6, Mean reward -45.22261819120059, Final reward 0.0,  Reward -80.0, Record 1946.0
Game 121, Game Loss -1.2718949334317413e+24, Mean Loss -2.6629692723209344e+23, Actions 17, Mean reward -42.33648085077744, Final reward 0.0,  Reward 304.0, Record 1946.0
Game 122, Game Loss -1.7095362984755324e+24, Mean Loss -2.7812676656048815e+23, Actions 34, Mean reward -32.191748060797856, Final reward 0.0,  Reward 1195.3209195267318, Record 1946.0
Game 123, Game Loss -1.4334339359763443e+24, Mean Loss -2.8751950997212908e+23, Actions 8, Mean reward -32.58043303591332, Final reward 0.0,  Reward -80.0, Record 1946.0
Game 124, Game Loss -1.5450105086580573e+24, Mean Loss -2.9766057149785388e+23, Actions 7, Mean reward -30.382203737236605, Final reward 0.0,  Reward 240.0, Record 1946.0
Game 125, Game Loss -1.6123525096269552e+24, Mean Loss -3.0817807990923133e+23, Actions 10, Mean reward -30.93914610733871, Final reward 0.0,  Reward -100.0, Record 1946.0
Game 126, Game Loss -1.312718298642801e+24, Mean Loss -3.161506041711817e+23, Actions 6, Mean reward -32.91581955093126, Final reward 0.0,  Reward -280.0, Record 1946.0
Game 127, Game Loss -1.5967178852181698e+24, Mean Loss -3.262338394776911e+23, Actions 6, Mean reward -33.28656112927038, Final reward 0.0,  Reward -80.0, Record 1946.0
Game 128, Game Loss -1.9012890502002386e+24, Mean Loss -3.3853893466756295e+23, Actions 9, Mean reward -31.15150987044796, Final reward 0.0,  Reward 240.0, Record 1946.0
Game 129, Game Loss -1.940643305184053e+24, Mean Loss -3.50958349230376e+23, Actions 10, Mean reward -26.723978786180922, Final reward 0.0,  Reward 540.0, Record 1946.0
Game 130, Game Loss -1.8628987817094637e+24, Mean Loss -3.6258866108087966e+23, Actions 13, Mean reward -24.979948180133377, Final reward 0.0,  Reward 200.0, Record 1946.0
Game 131, Game Loss -1.8919209865145557e+24, Mean Loss -3.742629640925435e+23, Actions 22, Mean reward -31.216140441893277, Final reward 0.0,  Reward -841.9211344706804, Record 1946.0
Game 132, Game Loss -2.07580879596521e+24, Mean Loss -3.871534551763795e+23, Actions 42, Mean reward -14.062987862788026, Final reward 0.0,  Reward 2233.0, Record 2233.0
Game 133, Game Loss -2.559000360273761e+24, Mean Loss -4.034831471372547e+23, Actions 13, Mean reward -18.318153367579093, Final reward 0.0,  Reward -580.0, Record 2233.0
Game 134, Game Loss -2.426869503007917e+24, Mean Loss -4.185830321406846e+23, Actions 22, Mean reward -22.300853715582235, Final reward 0.0,  Reward -552.0, Record 2233.0
Game 135, Game Loss -2.445748016185102e+24, Mean Loss -4.335990421046544e+23, Actions 14, Mean reward -26.387514058429772, Final reward 0.0,  Reward -574.0, Record 2233.0
Game 136, Game Loss -2.584061991480152e+24, Mean Loss -4.4941128848274326e+23, Actions 12, Mean reward -22.369958808000142, Final reward 0.0,  Reward 520.0, Record 2233.0
Game 137, Game Loss -2.824987998297845e+24, Mean Loss -4.6675126394082726e+23, Actions 22, Mean reward -17.389156188963646, Final reward 0.0,  Reward 660.0, Record 2233.0
Game 138, Game Loss -2.739809581076739e+24, Mean Loss -4.832226931891751e+23, Actions 22, Mean reward -11.755901433971156, Final reward 0.0,  Reward 760.0, Record 2233.0
Game 139, Game Loss -2.5212816685594194e+24, Mean Loss -4.978849724240127e+23, Actions 5, Mean reward -13.11017552437424, Final reward 0.0,  Reward -200.0, Record 2233.0
Game 140, Game Loss -3.190917789870278e+24, Mean Loss -5.171209272964226e+23, Actions 18, Mean reward -15.016531413485852, Final reward 0.0,  Reward -280.0, Record 2233.0
Game 141, Game Loss -2.9043038096680253e+24, Mean Loss -5.34051291361198e+23, Actions 11, Mean reward -10.37102409849659, Final reward 0.0,  Reward 640.0, Record 2233.0
Game 142, Game Loss -3.044577463290531e+24, Mean Loss -5.517310904327649e+23, Actions 13, Mean reward -8.748692942873376, Final reward 0.0,  Reward 220.0, Record 2233.0
Game 143, Game Loss -2.859944001856772e+24, Mean Loss -5.67872423842825e+23, Actions 10, Mean reward -9.24695383138475, Final reward 0.0,  Reward -80.0, Record 2233.0
Game 144, Game Loss -2.2332245188637748e+24, Mean Loss -5.794374154843333e+23, Actions 6, Mean reward -11.127183318666802, Final reward 0.0,  Reward -280.0, Record 2233.0
Game 145, Game Loss -2.291751714354013e+24, Mean Loss -5.9124646619684803e+23, Actions 5, Mean reward -12.291823433710478, Final reward 0.0,  Reward -180.0, Record 2233.0
Game 146, Game Loss -3.43250672655312e+24, Mean Loss -6.107071326762653e+23, Actions 34, Mean reward -14.262427382794653, Final reward 0.0,  Reward -300.0, Record 2233.0
Game 147, Game Loss -3.423088799012363e+24, Mean Loss -6.298390003540874e+23, Actions 8, Mean reward -16.20622039379605, Final reward 0.0,  Reward -300.0, Record 2233.0
Game 148, Game Loss -3.795850226960344e+24, Mean Loss -6.512309544689092e+23, Actions 44, Mean reward -9.880502688432562, Final reward 0.0,  Reward 920.0, Record 2233.0
Game 149, Game Loss -4.164424532233969e+24, Mean Loss -6.748094242172179e+23, Actions 11, Mean reward -13.841036227436371, Final reward 0.0,  Reward -600.0, Record 2233.0
Game 150, Game Loss -3.672150972888066e+24, Mean Loss -6.947917156198757e+23, Actions 6, Mean reward -12.948762652586796, Final reward 0.0,  Reward 120.0, Record 2233.0
Game 151, Game Loss -3.430570683116509e+24, Mean Loss -7.12909444719208e+23, Actions 5, Mean reward -12.730558926410724, Final reward 0.0,  Reward 20.0, Record 2233.0
Game 152, Game Loss -2.628896226490551e+24, Mean Loss -7.255145517018568e+23, Actions 5, Mean reward -13.831015775579075, Final reward 0.0,  Reward -180.0, Record 2233.0
Game 153, Game Loss -3.3907905677519304e+24, Mean Loss -7.42934691233308e+23, Actions 8, Mean reward -14.263492796653722, Final reward 0.0,  Reward -80.0, Record 2233.0
Game 154, Game Loss -3.94142818419517e+24, Mean Loss -7.637040677356421e+23, Actions 14, Mean reward -15.989054531740386, Final reward 0.0,  Reward -280.0, Record 2233.0
Game 155, Game Loss -4.149423005846401e+24, Mean Loss -7.855473906195175e+23, Actions 34, Mean reward -13.26654450250335, Final reward 0.0,  Reward 406.0, Record 2233.0
Game 156, Game Loss -4.381171181026671e+24, Mean Loss -8.085963091092414e+23, Actions 7, Mean reward -11.771246140307817, Final reward 0.0,  Reward 220.0, Record 2233.0
Game 157, Game Loss -4.776880358602347e+24, Mean Loss -8.338719513699254e+23, Actions 26, Mean reward -9.173977056611589, Final reward 0.0,  Reward 396.0, Record 2233.0
Game 158, Game Loss -3.5200281685019634e+24, Mean Loss -8.50872931876858e+23, Actions 5, Mean reward -10.381736695493794, Final reward 0.0,  Reward -200.0, Record 2233.0
Game 159, Game Loss -4.851564596058145e+24, Mean Loss -8.760345069661799e+23, Actions 27, Mean reward -9.058581118792574, Final reward 0.0,  Reward 200.0, Record 2233.0
