Command main.py play --no-gui --agents train_rule_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 19, Game Loss 2.458148717880249, Mean Loss 14742738944.0, Actions 84, Mean reward 1078.9473684210527, Reward 6900, Record 6900
Game 20, Game Loss 2.869967460632324, Mean Loss 14005602304.0, Actions 8, Mean reward 1040.0, Reward 300, Record 6900
Game 21, Game Loss 4.719168663024902, Mean Loss 13338668032.0, Actions 7, Mean reward 1000.0, Reward 200, Record 6900
Game 22, Game Loss 4.475099086761475, Mean Loss 12732365824.0, Actions 16, Mean reward 968.1818181818181, Reward 300, Record 6900
Game 23, Game Loss 3.218254566192627, Mean Loss 12178784256.0, Actions 6, Mean reward 939.1304347826087, Reward 300, Record 6900
Game 24, Game Loss 4.598663330078125, Mean Loss 11671334912.0, Actions 31, Mean reward 950.0, Reward 1200, Record 6900
Game 25, Game Loss 3.7493958473205566, Mean Loss 11204481024.0, Actions 39, Mean reward 992.0, Reward 2000, Record 6900
Game 26, Game Loss 5.322024345397949, Mean Loss 10773539840.0, Actions 14, Mean reward 957.6923076923077, Reward 100, Record 6900
Game 27, Game Loss 5.548404216766357, Mean Loss 10374519808.0, Actions 21, Mean reward 959.2592592592592, Reward 1000, Record 6900
Game 28, Game Loss 3.9113543033599854, Mean Loss 10004001792.0, Actions 44, Mean reward 1014.2857142857143, Reward 2500, Record 6900
Game 29, Game Loss 4.179846286773682, Mean Loss 9659035648.0, Actions 26, Mean reward 1017.2413793103449, Reward 1100, Record 6900
Game 30, Game Loss 4.164257049560547, Mean Loss 9337067520.0, Actions 16, Mean reward 993.3333333333334, Reward 300, Record 6900
Game 31, Game Loss 2.460557222366333, Mean Loss 9035872256.0, Actions 15, Mean reward 980.6451612903226, Reward 600, Record 6900
Game 32, Game Loss 2.2341878414154053, Mean Loss 8753501184.0, Actions 7, Mean reward 968.75, Reward 600, Record 6900
Game 33, Game Loss 6.915968894958496, Mean Loss 8488243712.0, Actions 6, Mean reward 942.4242424242424, Reward 100, Record 6900
Game 34, Game Loss 2.799199342727661, Mean Loss 8238589440.0, Actions 7, Mean reward 914.7058823529412, Reward 0, Record 6900
Game 35, Game Loss 3.0127029418945312, Mean Loss 8003201024.0, Actions 47, Mean reward 974.2857142857143, Reward 3000, Record 6900
Game 36, Game Loss 4.127874374389648, Mean Loss 7780890112.0, Actions 24, Mean reward 988.8888888888889, Reward 1500, Record 6900
Game 37, Game Loss 3.6705150604248047, Mean Loss 7570595840.0, Actions 91, Mean reward 1108.1081081081081, Reward 5400, Record 6900
Game 38, Game Loss 3.2859537601470947, Mean Loss 7371369472.0, Actions 9, Mean reward 1089.4736842105262, Reward 400, Record 6900
Game 39, Game Loss 1.857169508934021, Mean Loss 7182360064.0, Actions 7, Mean reward 1066.6666666666667, Reward 200, Record 6900
Game 40, Game Loss 2.529283046722412, Mean Loss 7002801152.0, Actions 7, Mean reward 1045.0, Reward 200, Record 6900
Game 41, Game Loss 4.106729030609131, Mean Loss 6832001024.0, Actions 51, Mean reward 1073.1707317073171, Reward 2200, Record 6900
Game 42, Game Loss 2.748288869857788, Mean Loss 6669334016.0, Actions 13, Mean reward 1071.4285714285713, Reward 1000, Record 6900
Game 43, Game Loss 3.6708669662475586, Mean Loss 6514233344.0, Actions 23, Mean reward 1074.4186046511627, Reward 1200, Record 6900
Game 44, Game Loss 1.929948091506958, Mean Loss 6366182912.0, Actions 14, Mean reward 1079.5454545454545, Reward 1300, Record 6900
Game 45, Game Loss 3.2945733070373535, Mean Loss 6224712192.0, Actions 42, Mean reward 1120.0, Reward 2900, Record 6900
Game 46, Game Loss 2.82672381401062, Mean Loss 6089392128.0, Actions 8, Mean reward 1102.1739130434783, Reward 300, Record 6900
Game 47, Game Loss 4.093687057495117, Mean Loss 5959830528.0, Actions 6, Mean reward 1085.1063829787233, Reward 300, Record 6900
Game 48, Game Loss 4.38070821762085, Mean Loss 5835667456.0, Actions 8, Mean reward 1068.75, Reward 300, Record 6900
Game 49, Game Loss 7.901475429534912, Mean Loss 5716572160.0, Actions 6, Mean reward 1044.8979591836735, Reward -100, Record 6900
Game 50, Game Loss 6.605447292327881, Mean Loss 5602240512.0, Actions 7, Mean reward 1028.0, Reward 200, Record 6900
Game 51, Game Loss 4.293944358825684, Mean Loss 5492392960.0, Actions 22, Mean reward 1025.4901960784314, Reward 900, Record 6900
Game 52, Game Loss 4.017484188079834, Mean Loss 5386769920.0, Actions 14, Mean reward 1023.0769230769231, Reward 900, Record 6900
Game 53, Game Loss 3.3606300354003906, Mean Loss 5285132800.0, Actions 6, Mean reward 1009.433962264151, Reward 300, Record 6900
Game 54, Game Loss 3.421586275100708, Mean Loss 5187259904.0, Actions 7, Mean reward 994.4444444444445, Reward 200, Record 6900
Game 55, Game Loss 3.1994168758392334, Mean Loss 5092945920.0, Actions 15, Mean reward 983.6363636363636, Reward 400, Record 6900
Game 56, Game Loss 3.6436777114868164, Mean Loss 5002000896.0, Actions 15, Mean reward 980.3571428571429, Reward 800, Record 6900
Game 57, Game Loss 2.0179550647735596, Mean Loss 4914246144.0, Actions 7, Mean reward 970.1754385964912, Reward 400, Record 6900
Game 58, Game Loss 4.083704948425293, Mean Loss 4829517824.0, Actions 29, Mean reward 977.5862068965517, Reward 1400, Record 6900
Game 59, Game Loss 2.6250014305114746, Mean Loss 4747661824.0, Actions 6, Mean reward 966.1016949152543, Reward 300, Record 6900
Game 60, Game Loss 2.4865427017211914, Mean Loss 4668533760.0, Actions 6, Mean reward 955.0, Reward 300, Record 6900
Game 61, Game Loss 2.3669893741607666, Mean Loss 4592000512.0, Actions 6, Mean reward 944.2622950819672, Reward 300, Record 6900
Game 62, Game Loss 4.504802703857422, Mean Loss 4517936128.0, Actions 6, Mean reward 933.8709677419355, Reward 300, Record 6900
Game 63, Game Loss 3.2705161571502686, Mean Loss 4446222848.0, Actions 8, Mean reward 920.6349206349206, Reward 100, Record 6900
Game 64, Game Loss 3.7518022060394287, Mean Loss 4376750592.0, Actions 14, Mean reward 914.0625, Reward 500, Record 6900
Game 65, Game Loss 3.2379953861236572, Mean Loss 4309415936.0, Actions 7, Mean reward 903.0769230769231, Reward 200, Record 6900
Game 66, Game Loss 3.339247941970825, Mean Loss 4244121856.0, Actions 26, Mean reward 909.0909090909091, Reward 1300, Record 6900
Game 67, Game Loss 3.7238831520080566, Mean Loss 4180776704.0, Actions 31, Mean reward 913.4328358208955, Reward 1200, Record 6900
Game 68, Game Loss 3.2031490802764893, Mean Loss 4119294720.0, Actions 16, Mean reward 907.3529411764706, Reward 500, Record 6900
Game 69, Game Loss 3.6065893173217773, Mean Loss 4059594752.0, Actions 35, Mean reward 920.2898550724638, Reward 1800, Record 6900
