Command main.py play --no-gui --agents q_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 101, Game Loss 2.8646414279937744, Mean Loss 10.467674255371094, Actions 17, Mean reward 496.8811881188119, Final reward 0.0,  Reward 980.0, Record 2228.0
Game 102, Game Loss 3.906597137451172, Mean Loss 10.403349876403809, Actions 18, Mean reward 502.2843137254902, Final reward 0.0,  Reward 1048.0, Record 2228.0
Game 103, Game Loss 23.045251846313477, Mean Loss 10.526087760925293, Actions 7, Mean reward 493.5242718446602, Final reward 0.0,  Reward -400.0, Record 2228.0
Game 104, Game Loss 9.101696014404297, Mean Loss 10.512391090393066, Actions 17, Mean reward 494.0480769230769, Final reward 0.0,  Reward 548.0, Record 2228.0
Game 105, Game Loss 5.600696086883545, Mean Loss 10.46561336517334, Actions 17, Mean reward 498.37142857142857, Final reward 0.0,  Reward 948.0, Record 2228.0
Game 106, Game Loss 6.09536075592041, Mean Loss 10.424384117126465, Actions 14, Mean reward 500.4622641509434, Final reward 0.0,  Reward 720.0, Record 2228.0
Game 107, Game Loss 4.725405693054199, Mean Loss 10.371123313903809, Actions 17, Mean reward 506.8130841121495, Final reward 0.0,  Reward 1180.0, Record 2228.0
Game 108, Game Loss 7.1712236404418945, Mean Loss 10.341495513916016, Actions 13, Mean reward 505.8240740740741, Final reward 0.0,  Reward 400.0, Record 2228.0
Game 109, Game Loss 20.13448143005371, Mean Loss 10.431339263916016, Actions 5, Mean reward 499.348623853211, Final reward 0.0,  Reward -200.0, Record 2228.0
Game 110, Game Loss 12.18510627746582, Mean Loss 10.447281837463379, Actions 5, Mean reward 493.1727272727273, Final reward 0.0,  Reward -180.0, Record 2228.0
Game 111, Game Loss 20.995054244995117, Mean Loss 10.542306900024414, Actions 5, Mean reward 486.92792792792795, Final reward 0.0,  Reward -200.0, Record 2228.0
Game 112, Game Loss 2.036578893661499, Mean Loss 10.466362953186035, Actions 26, Mean reward 496.83035714285717, Final reward 0.0,  Reward 1596.0, Record 2228.0
