Command main.py play --no-gui --agents simple_net_ppo rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 78, Game Loss -1.330013034316728e+21, Mean Loss -2.290318784638799e+20, Actions 14, Mean reward 479.63091157116577, Final reward 0.0,  Reward 900.0, Record 1848.0
Game 79, Game Loss -1.1812986858589085e+21, Mean Loss -2.410859036040254e+20, Actions 10, Mean reward 477.3571025639358, Final reward 0.0,  Reward 300.0, Record 1848.0
Game 80, Game Loss -1.315092327276273e+21, Mean Loss -2.5451097576354244e+20, Actions 13, Mean reward 476.3901387818866, Final reward 0.0,  Reward 400.0, Record 1848.0
Game 81, Game Loss -1.3944059240013365e+21, Mean Loss -2.685837570288428e+20, Actions 20, Mean reward 471.1013716364312, Final reward 0.0,  Reward 48.0, Record 1848.0
Game 82, Game Loss -1.357717068161986e+21, Mean Loss -2.8186585749237688e+20, Actions 8, Mean reward 469.014769543304, Final reward 0.0,  Reward 300.0, Record 1848.0
Game 83, Game Loss -1.4070876383395468e+21, Mean Loss -2.954227303097387e+20, Actions 19, Mean reward 470.7374831632642, Final reward 0.0,  Reward 612.0, Record 1848.0
Game 84, Game Loss -1.594798796708256e+21, Mean Loss -3.108915043142216e+20, Actions 17, Mean reward 475.39537026846347, Final reward 0.0,  Reward 862.0, Record 1848.0
Game 85, Game Loss -1.7109255204748877e+21, Mean Loss -3.273625051576549e+20, Actions 18, Mean reward 484.48483650059916, Final reward 0.0,  Reward 1248.0, Record 1848.0
Game 86, Game Loss -1.7183812296579995e+21, Mean Loss -3.435371480349839e+20, Actions 20, Mean reward 482.10710584361544, Final reward 0.0,  Reward 280.0, Record 1848.0
Game 87, Game Loss -1.6918215323305588e+21, Mean Loss -3.590346676714634e+20, Actions 24, Mean reward 481.1173689948383, Final reward 0.0,  Reward 396.0, Record 1848.0
Game 88, Game Loss -2.0362834312171534e+21, Mean Loss -3.780943235069604e+20, Actions 23, Mean reward 468.24103525626055, Final reward 0.0,  Reward -652.0, Record 1848.0
Game 89, Game Loss -1.6721240541978354e+21, Mean Loss -3.926339837976935e+20, Actions 5, Mean reward 462.97990002866214, Final reward 0.0,  Reward 0.0, Record 1848.0
Game 90, Game Loss -2.095197410480089e+21, Mean Loss -4.115513540324633e+20, Actions 19, Mean reward 455.03567891723253, Final reward 0.0,  Reward -252.0, Record 1848.0
Game 91, Game Loss -1.6975786807667102e+21, Mean Loss -4.256835441100356e+20, Actions 6, Mean reward 448.9363857423179, Final reward 0.0,  Reward -100.0, Record 1848.0
Game 92, Game Loss -1.9848571085471865e+21, Mean Loss -4.4263111727341214e+20, Actions 14, Mean reward 446.7522945929449, Final reward 0.0,  Reward 248.0, Record 1848.0
Game 93, Game Loss -1.97499295872585e+21, Mean Loss -4.591081346444726e+20, Actions 6, Mean reward 443.0237752962465, Final reward 0.0,  Reward 100.0, Record 1848.0
Game 94, Game Loss -2.2601030440232356e+21, Mean Loss -4.782676789123298e+20, Actions 17, Mean reward 429.2469266228822, Final reward 0.0,  Reward -852.0, Record 1848.0
Game 95, Game Loss -2.285125043552906e+21, Mean Loss -4.9728722456364555e+20, Actions 21, Mean reward 438.9180116057993, Final reward 0.0,  Reward 1348.0, Record 1848.0
Game 96, Game Loss -2.458898968449787e+21, Mean Loss -5.177206893917231e+20, Actions 40, Mean reward 439.01261565157216, Final reward 0.0,  Reward 448.0, Record 1848.0
Game 97, Game Loss -2.2295654015874315e+21, Mean Loss -5.353685722971557e+20, Actions 5, Mean reward 434.48671239743226, Final reward 0.0,  Reward 0.0, Record 1848.0
Game 98, Game Loss -2.4524588209826473e+21, Mean Loss -5.549306961504533e+20, Actions 7, Mean reward 432.09399084235645, Final reward 0.0,  Reward 200.0, Record 1848.0
Game 99, Game Loss -2.1951557893719956e+21, Mean Loss -5.7149859475461924e+20, Actions 9, Mean reward 429.74960709647405, Final reward 0.0,  Reward 200.0, Record 1848.0
Game 100, Game Loss -2.8914840678825355e+21, Mean Loss -5.946984308381812e+20, Actions 19, Mean reward 420.9321110255093, Final reward 0.0,  Reward -452.0, Record 1848.0
Game 101, Game Loss -2.8190284682275387e+21, Mean Loss -6.167215255972322e+20, Actions 19, Mean reward 402.9030802232765, Final reward 0.0,  Reward -1400.0, Record 1848.0
Game 102, Game Loss -2.92657836797882e+21, Mean Loss -6.393671726360229e+20, Actions 12, Mean reward 401.6981480642248, Final reward 0.0,  Reward 280.0, Record 1848.0
Game 103, Game Loss -2.789413078552927e+21, Mean Loss -6.602413569088852e+20, Actions 13, Mean reward 397.7981660441838, Final reward 0.0,  Reward 0.0, Record 1848.0
Game 104, Game Loss -2.661923491451463e+21, Mean Loss -6.794883343413831e+20, Actions 12, Mean reward 391.08856829375895, Final reward 0.0,  Reward -300.0, Record 1848.0
Game 105, Game Loss -3.2773243364579685e+21, Mean Loss -7.042296329505289e+20, Actions 30, Mean reward 374.48772478619935, Final reward 0.0,  Reward -1352.0, Record 1848.0
Game 106, Game Loss -3.5584015890265324e+21, Mean Loss -7.311557403289028e+20, Actions 18, Mean reward 382.728406627839, Final reward 0.0,  Reward 1248.0, Record 1848.0
Game 107, Game Loss -3.3031358732973124e+21, Mean Loss -7.551929292838069e+20, Actions 30, Mean reward 384.0300103042143, Final reward 0.0,  Reward 522.0, Record 1848.0
Game 108, Game Loss -3.3418077203475894e+21, Mean Loss -7.791430721021632e+20, Actions 7, Mean reward 380.4741768754716, Final reward 0.0,  Reward 0.0, Record 1848.0
Game 109, Game Loss -3.562691830621556e+21, Mean Loss -8.046802412079583e+20, Actions 7, Mean reward 378.81845048211864, Final reward 0.0,  Reward 200.0, Record 1848.0
Game 110, Game Loss -3.6580507676565224e+21, Mean Loss -8.306199195304497e+20, Actions 26, Mean reward 383.938282750463, Final reward 0.0,  Reward 942.0, Record 1848.0
Game 111, Game Loss -3.9991807065063047e+21, Mean Loss -8.591654931873283e+20, Actions 22, Mean reward 393.5244243473057, Final reward 0.0,  Reward 1448.0, Record 1848.0
Game 112, Game Loss -3.9428080240706013e+21, Mean Loss -8.866980384030253e+20, Actions 13, Mean reward 393.11795627277615, Final reward 0.0,  Reward 348.0, Record 1848.0
Game 113, Game Loss -4.529916130318059e+21, Mean Loss -9.189389562916498e+20, Actions 16, Mean reward 399.3735495800967, Final reward 0.0,  Reward 1100.0, Record 1848.0
Game 114, Game Loss -4.683958377872546e+21, Mean Loss -9.519654708402738e+20, Actions 19, Mean reward 404.6422026539555, Final reward 0.0,  Reward 1000.0, Record 1848.0
Game 115, Game Loss -3.924266704404717e+21, Mean Loss -9.778115587330089e+20, Actions 13, Mean reward 409.81922697870374, Final reward 0.0,  Reward 1000.0, Record 1848.0
Game 116, Game Loss -4.6995276032593426e+21, Mean Loss -1.0098952728471405e+21, Actions 18, Mean reward 412.32078536681837, Final reward 0.0,  Reward 700.0, Record 1848.0
Game 117, Game Loss -5.09072602949144e+21, Mean Loss -1.0447741742174972e+21, Actions 17, Mean reward 413.4804367739396, Final reward 0.0,  Reward 548.0, Record 1848.0
Game 118, Game Loss -4.245434156431203e+21, Mean Loss -1.0718983696107312e+21, Actions 5, Mean reward 409.97636527585536, Final reward 0.0,  Reward 0.0, Record 1848.0
Game 119, Game Loss -5.137637775009944e+21, Mean Loss -1.1060642244963357e+21, Actions 12, Mean reward 410.295891618075, Final reward 0.0,  Reward 448.0, Record 1848.0
Game 120, Game Loss -5.126133329761827e+21, Mean Loss -1.1395648132744846e+21, Actions 16, Mean reward 412.8418540904314, Final reward 0.0,  Reward 715.8113883008417, Record 1848.0
Game 121, Game Loss -4.995934827484499e+21, Mean Loss -1.1714355915687346e+21, Actions 14, Mean reward 413.1324172797667, Final reward 0.0,  Reward 448.0, Record 1848.0
Game 122, Game Loss -5.258879180578386e+21, Mean Loss -1.204939206202883e+21, Actions 32, Mean reward 417.0411679578014, Final reward 0.0,  Reward 890.0, Record 1848.0
Game 123, Game Loss -5.769404419587338e+21, Mean Loss -1.2420487263949276e+21, Actions 19, Mean reward 401.845711307738, Final reward 0.0,  Reward -1452.0, Record 1848.0
Game 124, Game Loss -5.666556277847031e+21, Mean Loss -1.2777301832926306e+21, Actions 21, Mean reward 394.9598587971917, Final reward 0.0,  Reward -452.0, Record 1848.0
Game 125, Game Loss -6.058970675978518e+21, Mean Loss -1.3159800993528184e+21, Actions 33, Mean reward 402.92017992681417, Final reward 0.0,  Reward 1390.0, Record 1848.0
Game 126, Game Loss -5.94815510354744e+21, Mean Loss -1.3527434053235088e+21, Actions 9, Mean reward 401.48430548295056, Final reward 0.0,  Reward 222.0, Record 1848.0
Game 127, Game Loss -6.322262932143619e+21, Mean Loss -1.3918733528983824e+21, Actions 19, Mean reward 397.91356292009266, Final reward 0.0,  Reward -52.0, Record 1848.0
Game 128, Game Loss -7.190518096753865e+21, Mean Loss -1.437175343025079e+21, Actions 22, Mean reward 401.42986320977946, Final reward 0.0,  Reward 848.0, Record 1848.0
Game 129, Game Loss -5.973720912732115e+21, Mean Loss -1.4723424044028432e+21, Actions 5, Mean reward 398.31800380505246, Final reward 0.0,  Reward 0.0, Record 1848.0
Game 130, Game Loss -7.053904779757302e+21, Mean Loss -1.5152773307128915e+21, Actions 12, Mean reward 399.1001730065521, Final reward 0.0,  Reward 500.0, Record 1848.0
