Command main.py play --no-gui --agents brand_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 24, Game Loss 3.465451240539551, Mean Loss 10.511201858520508, Actions 23, Mean reward 1955.175304899175, Final reward 2.5,  Reward 2625.249490955303, Record 7796.452380952381
Game 25, Game Loss 2.387216091156006, Mean Loss 10.186243057250977, Actions 5, Mean reward 1894.568292703208, Final reward 0.0,  Reward 440.0, Record 7796.452380952381
Game 26, Game Loss 33.12015914916992, Mean Loss 11.068315505981445, Actions 37, Mean reward 1967.5272045223153, Final reward 1.5,  Reward 3791.5, Record 7796.452380952381
Game 27, Game Loss 2.3772616386413574, Mean Loss 10.746424674987793, Actions 5, Mean reward 1912.1558265770445, Final reward 0.5,  Reward 472.5, Record 7796.452380952381
Game 28, Game Loss 2.378847122192383, Mean Loss 10.447583198547363, Actions 13, Mean reward 1889.1043429748029, Final reward 1.0,  Reward 1266.7142857142858, Record 7796.452380952381
Game 29, Game Loss 0.9729772806167603, Mean Loss 10.120872497558594, Actions 19, Mean reward 1895.365891329163, Final reward 2.0,  Reward 2070.689245251249, Record 7796.452380952381
Game 30, Game Loss 2.2056117057800293, Mean Loss 9.857029914855957, Actions 6, Mean reward 1850.1870282848577, Final reward 0.0,  Reward 540.0, Record 7796.452380952381
Game 31, Game Loss 1.6859431266784668, Mean Loss 9.593446731567383, Actions 41, Mean reward 1935.7465454907406, Final reward 2.0,  Reward 4502.532061667227, Record 7796.452380952381
Game 32, Game Loss 1.9875558614730835, Mean Loss 9.355762481689453, Actions 52, Mean reward 2050.972343254259, Final reward 1.0,  Reward 5622.972073923341, Record 7796.452380952381
Game 33, Game Loss 2.2172441482543945, Mean Loss 9.139444351196289, Actions 7, Mean reward 2010.13984800413, Final reward 0.5,  Reward 703.5, Record 7796.452380952381
Game 34, Game Loss 0.901416003704071, Mean Loss 8.897149085998535, Actions 14, Mean reward 1990.0474995334205, Final reward 0.5,  Reward 1327.0, Record 7796.452380952381
Game 35, Game Loss 1.023622751235962, Mean Loss 8.672191619873047, Actions 7, Mean reward 1950.3318566896085, Final reward 0.0,  Reward 600.0, Record 7796.452380952381
Game 36, Game Loss 1.0479962825775146, Mean Loss 8.460408210754395, Actions 8, Mean reward 1916.7115273371192, Final reward 0.0,  Reward 740.0, Record 7796.452380952381
Game 37, Game Loss 1.892391562461853, Mean Loss 8.2828950881958, Actions 32, Mean reward 1956.0436482198998, Final reward 0.0,  Reward 3372.0, Record 7796.452380952381
Game 38, Game Loss 1.2492116689682007, Mean Loss 8.097797393798828, Actions 10, Mean reward 1928.9109206351657, Final reward 0.5,  Reward 925.0, Record 7796.452380952381
Game 39, Game Loss 1.389270544052124, Mean Loss 7.925784587860107, Actions 6, Mean reward 1892.7849995932384, Final reward 0.0,  Reward 520.0, Record 7796.452380952381
Game 40, Game Loss 1.1208962202072144, Mean Loss 7.755662441253662, Actions 6, Mean reward 1857.9653746034073, Final reward 0.0,  Reward 500.0, Record 7796.452380952381
Game 41, Game Loss 1.4504722356796265, Mean Loss 7.601877212524414, Actions 5, Mean reward 1822.4052435155193, Final reward 0.0,  Reward 400.0, Record 7796.452380952381
Game 42, Game Loss 1.05707585811615, Mean Loss 7.446048736572266, Actions 5, Mean reward 1789.0146424794355, Final reward 0.0,  Reward 420.0, Record 7796.452380952381
Game 43, Game Loss 2.3121156692504883, Mean Loss 7.326654434204102, Actions 6, Mean reward 1759.5724414915417, Final reward 0.5,  Reward 523.0, Record 7796.452380952381
Game 44, Game Loss 1.4510773420333862, Mean Loss 7.193118572235107, Actions 5, Mean reward 1728.6730678212793, Final reward 0.0,  Reward 400.0, Record 7796.452380952381
Game 45, Game Loss 2.1916663646698, Mean Loss 7.08197546005249, Actions 6, Mean reward 1701.8803329808065, Final reward 0.5,  Reward 523.0, Record 7796.452380952381
Game 46, Game Loss 1.6984198093414307, Mean Loss 6.96494197845459, Actions 5, Mean reward 1674.0133692203542, Final reward 0.0,  Reward 420.0, Record 7796.452380952381
Game 47, Game Loss 1.8150736093521118, Mean Loss 6.855370044708252, Actions 16, Mean reward 1673.034361364602, Final reward 1.0,  Reward 1628.0, Record 7796.452380952381
Game 48, Game Loss 1.1906962394714355, Mean Loss 6.737356185913086, Actions 6, Mean reward 1648.5961455028394, Final reward 0.0,  Reward 500.0, Record 7796.452380952381
Game 49, Game Loss 0.9764302968978882, Mean Loss 6.619786262512207, Actions 21, Mean reward 1659.9613001212408, Final reward 2.0,  Reward 2205.4887218045114, Record 7796.452380952381
Game 50, Game Loss 2.2685768604278564, Mean Loss 6.53276252746582, Actions 11, Mean reward 1650.0754074521494, Final reward 1.5,  Reward 1165.6666666666667, Record 7796.452380952381
Game 51, Game Loss 6.087403297424316, Mean Loss 6.524029731750488, Actions 32, Mean reward 1688.3963841971115, Final reward 2.5,  Reward 3604.4452214452217, Record 7796.452380952381
Game 52, Game Loss 0.3008456826210022, Mean Loss 6.404353141784668, Actions 22, Mean reward 1696.6964537317824, Final reward 0.0,  Reward 2120.0, Record 7796.452380952381
Game 53, Game Loss 0.27481839060783386, Mean Loss 6.28870153427124, Actions 21, Mean reward 1702.7965206425035, Final reward 0.0,  Reward 2020.0, Record 7796.452380952381
Game 54, Game Loss 4.355987071990967, Mean Loss 6.252910614013672, Actions 26, Mean reward 1718.8240983025628, Final reward 1.0,  Reward 2568.285714285714, Record 7796.452380952381
Game 55, Game Loss 1.7563024759292603, Mean Loss 6.171154022216797, Actions 36, Mean reward 1758.9095475974948, Final reward 3.0,  Reward 3923.523809523809, Record 7796.452380952381
Game 56, Game Loss 23.258163452148438, Mean Loss 6.476279258728027, Actions 48, Mean reward 1825.0893223402113, Final reward 4.0,  Reward 5464.97693318963, Record 7796.452380952381
Game 57, Game Loss 1.4241853952407837, Mean Loss 6.387646198272705, Actions 8, Mean reward 1805.771965807927, Final reward 0.5,  Reward 724.0, Record 7796.452380952381
Game 58, Game Loss 2.0916638374328613, Mean Loss 6.313577651977539, Actions 23, Mean reward 1816.5792636059841, Final reward 1.5,  Reward 2432.595238095238, Record 7796.452380952381
Game 59, Game Loss 1.3035167455673218, Mean Loss 6.22866153717041, Actions 43, Mean reward 1859.7252530481308, Final reward 2.0,  Reward 4362.192640692641, Record 7796.452380952381
Game 60, Game Loss 0.45993486046791077, Mean Loss 6.132515907287598, Actions 17, Mean reward 1855.729832163995, Final reward 0.0,  Reward 1620.0, Record 7796.452380952381
Game 61, Game Loss 1.8328324556350708, Mean Loss 6.0620293617248535, Actions 31, Mean reward 1880.8389316241667, Final reward 1.5,  Reward 3387.384899234463, Record 7796.452380952381
Game 62, Game Loss 1.707387924194336, Mean Loss 5.991793155670166, Actions 29, Mean reward 1896.5754004689381, Final reward 0.5,  Reward 2856.500000000001, Record 7796.452380952381
Game 63, Game Loss 0.31374457478523254, Mean Loss 5.901665687561035, Actions 17, Mean reward 1892.185314747209, Final reward 0.0,  Reward 1620.0, Record 7796.452380952381
Game 64, Game Loss 0.9120435118675232, Mean Loss 5.823702812194824, Actions 26, Mean reward 1901.6824192042839, Final reward 0.0,  Reward 2500.0, Record 7796.452380952381
Game 65, Game Loss 0.2002398818731308, Mean Loss 5.73718786239624, Actions 23, Mean reward 1906.5796127549872, Final reward 0.0,  Reward 2220.0, Record 7796.452380952381
Game 66, Game Loss 1.220157504081726, Mean Loss 5.668747901916504, Actions 11, Mean reward 1893.8359822586995, Final reward 0.5,  Reward 1065.5, Record 7796.452380952381
Game 67, Game Loss 1.1696542501449585, Mean Loss 5.601597309112549, Actions 14, Mean reward 1885.6742511802115, Final reward 0.5,  Reward 1347.0, Record 7796.452380952381
Game 68, Game Loss 1.115841269493103, Mean Loss 5.535630226135254, Actions 8, Mean reward 1868.8261004275612, Final reward 0.0,  Reward 740.0, Record 7796.452380952381
Game 69, Game Loss 2.538388252258301, Mean Loss 5.492191791534424, Actions 13, Mean reward 1861.5967366532489, Final reward 2.0,  Reward 1370.0, Record 7796.452380952381
Game 70, Game Loss 2.4446613788604736, Mean Loss 5.44865608215332, Actions 15, Mean reward 1859.930153235858, Final reward 2.5,  Reward 1744.9358974358977, Record 7796.452380952381
Game 71, Game Loss 2.8087007999420166, Mean Loss 5.411473751068115, Actions 7, Mean reward 1843.529728542395, Final reward 0.5,  Reward 695.5, Record 7796.452380952381
Game 72, Game Loss 7.103568077087402, Mean Loss 5.4349751472473145, Actions 38, Mean reward 1871.5443970152212, Final reward 2.0,  Reward 3860.5858585858587, Record 7796.452380952381
Game 73, Game Loss 2.2773916721343994, Mean Loss 5.391720771789551, Actions 10, Mean reward 1860.0163915766566, Final reward 1.0,  Reward 1030.0, Record 7796.452380952381
Game 74, Game Loss 2.716946601867676, Mean Loss 5.355575084686279, Actions 5, Mean reward 1840.9958997985937, Final reward 0.5,  Reward 452.5, Record 7796.452380952381
Game 75, Game Loss 2.0263733863830566, Mean Loss 5.311185836791992, Actions 7, Mean reward 1824.7626211346123, Final reward 0.5,  Reward 623.5, Record 7796.452380952381
Game 76, Game Loss 2.3058109283447266, Mean Loss 5.271641254425049, Actions 5, Mean reward 1806.5749550670516, Final reward 0.5,  Reward 442.5, Record 7796.452380952381
Game 77, Game Loss 2.791051149368286, Mean Loss 5.2394256591796875, Actions 5, Mean reward 1789.7254967761373, Final reward 0.5,  Reward 509.16666666666663, Record 7796.452380952381
Game 78, Game Loss 0.4136503040790558, Mean Loss 5.17755651473999, Actions 35, Mean reward 1810.5944006636228, Final reward 0.5,  Reward 3417.5, Record 7796.452380952381
Game 79, Game Loss 0.3215971887111664, Mean Loss 5.1160888671875, Actions 19, Mean reward 1810.7134588830706, Final reward 0.0,  Reward 1820.0, Record 7796.452380952381
Game 80, Game Loss 0.8483520150184631, Mean Loss 5.062742233276367, Actions 9, Mean reward 1798.3295406470322, Final reward 0.0,  Reward 820.0, Record 7796.452380952381
Game 81, Game Loss 2.3258471488952637, Mean Loss 5.0289530754089355, Actions 6, Mean reward 1782.5847315032418, Final reward 0.5,  Reward 523.0, Record 7796.452380952381
Game 82, Game Loss 2.8970279693603516, Mean Loss 5.002954483032227, Actions 10, Mean reward 1775.4181073540697, Final reward 1.0,  Reward 1194.9215512711403, Record 7796.452380952381
Game 83, Game Loss 1.171953558921814, Mean Loss 4.9567975997924805, Actions 65, Mean reward 1838.3433684217393, Final reward 1.5,  Reward 6998.214775970649, Record 7796.452380952381
Game 84, Game Loss 3.2128913402557373, Mean Loss 4.936037063598633, Actions 12, Mean reward 1832.1964235595758, Final reward 1.5,  Reward 1322.0, Record 7796.452380952381
Game 85, Game Loss 0.7956430315971375, Mean Loss 4.887326717376709, Actions 21, Mean reward 1834.529406811816, Final reward 0.5,  Reward 2030.5, Record 7796.452380952381
Game 86, Game Loss 0.9424906373023987, Mean Loss 4.841456413269043, Actions 19, Mean reward 1834.9360416163297, Final reward 0.5,  Reward 1869.5, Record 7796.452380952381
Game 87, Game Loss 1.4809011220932007, Mean Loss 4.802829265594482, Actions 5, Mean reward 1818.4425238966019, Final reward 0.0,  Reward 400.0, Record 7796.452380952381
Game 88, Game Loss 1.447421908378601, Mean Loss 4.764699935913086, Actions 5, Mean reward 1802.3238588523222, Final reward 0.0,  Reward 400.0, Record 7796.452380952381
Game 89, Game Loss 1.448726773262024, Mean Loss 4.727441787719727, Actions 5, Mean reward 1786.567411000049, Final reward 0.0,  Reward 400.0, Record 7796.452380952381
