Command main.py play --no-gui --agents q_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 90, Game Loss 12.013769149780273, Mean Loss 7.167567253112793, Actions 12, Mean reward 638.7136587657986, Final reward 0.0,  Reward 300.0, Record 2448.0
Game 91, Game Loss 11.324365615844727, Mean Loss 7.213245868682861, Actions 8, Mean reward 630.5959262518887, Final reward 0.0,  Reward -100.0, Record 2448.0
Game 92, Game Loss 2.92041277885437, Mean Loss 7.1665849685668945, Actions 33, Mean reward 649.2633618361073, Final reward 0.0,  Reward 2348.0, Record 2448.0
Game 93, Game Loss 17.60611343383789, Mean Loss 7.278838157653809, Actions 7, Mean reward 640.1314977303427, Final reward 0.0,  Reward -200.0, Record 2448.0
Game 94, Game Loss 11.187982559204102, Mean Loss 7.320425033569336, Actions 9, Mean reward 633.32158818002, Final reward 0.0,  Reward 0.0, Record 2448.0
Game 95, Game Loss 6.574552059173584, Mean Loss 7.312573432922363, Actions 32, Mean reward 639.7918872518092, Final reward 0.0,  Reward 1248.0, Record 2448.0
Game 96, Game Loss 5.85231876373291, Mean Loss 7.297361850738525, Actions 20, Mean reward 646.1273884262695, Final reward 0.0,  Reward 1248.0, Record 2448.0
Game 97, Game Loss 4.66813325881958, Mean Loss 7.270256519317627, Actions 14, Mean reward 640.497209164143, Final reward 0.0,  Reward 100.0, Record 2448.0
Game 98, Game Loss 22.477506637573242, Mean Loss 7.4254326820373535, Actions 5, Mean reward 629.8798907032844, Final reward 0.0,  Reward -400.0, Record 2448.0
Game 99, Game Loss 12.72934627532959, Mean Loss 7.479007720947266, Actions 8, Mean reward 620.4871645345644, Final reward 0.0,  Reward -300.0, Record 2448.0
Game 100, Game Loss 3.0045504570007324, Mean Loss 7.434263229370117, Actions 25, Mean reward 627.7622928892188, Final reward 0.0,  Reward 1348.0, Record 2448.0
Game 101, Game Loss 4.542313098907471, Mean Loss 7.405630111694336, Actions 17, Mean reward 630.9329632566522, Final reward 0.0,  Reward 948.0, Record 2448.0
Game 102, Game Loss 4.815262794494629, Mean Loss 7.380234241485596, Actions 18, Mean reward 633.570875381587, Final reward 0.0,  Reward 900.0, Record 2448.0
Game 103, Game Loss 17.631811141967773, Mean Loss 7.479763984680176, Actions 6, Mean reward 624.5070804749696, Final reward 0.0,  Reward -300.0, Record 2448.0
Game 104, Game Loss 7.6325507164001465, Mean Loss 7.481233596801758, Actions 11, Mean reward 618.5022047011719, Final reward 0.0,  Reward 0.0, Record 2448.0
Game 105, Game Loss 3.019256114959717, Mean Loss 7.4387383460998535, Actions 18, Mean reward 618.2878979897321, Final reward 0.0,  Reward 596.0, Record 2448.0
Game 106, Game Loss 13.969744682312012, Mean Loss 7.500351428985596, Actions 7, Mean reward 610.5682008388856, Final reward 0.0,  Reward -200.0, Record 2448.0
