Command main.py play --no-gui --agents ppo2_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 90, Game Loss -3.1793245132305727e+19, Mean Loss -6.593951001923813e+18, Actions 9, Mean reward 1387.1539938535968, Final reward 0.5,  Reward 861.642857142857, Record 6407.551339634509
Game 91, Game Loss -3.2784096423955137e+19, Mean Loss -6.881754767563948e+18, Actions 13, Mean reward 1385.3171367782825, Final reward 0.0,  Reward 1220.0, Record 6407.551339634509
Game 92, Game Loss -2.800847761987286e+19, Mean Loss -7.111392718827291e+18, Actions 5, Mean reward 1375.7212983350403, Final reward 0.5,  Reward 502.5, Record 6407.551339634509
Game 93, Game Loss -2.088300895318678e+19, Mean Loss -7.259474395100348e+18, Actions 5, Mean reward 1365.2296714712227, Final reward 0.0,  Reward 400.0, Record 6407.551339634509
Game 94, Game Loss -2.6654121187010937e+19, Mean Loss -7.465800500831584e+18, Actions 7, Mean reward 1357.5516962428055, Final reward 0.5,  Reward 643.5, Record 6407.551339634509
Game 95, Game Loss -3.728078891927994e+19, Mean Loss -7.779642351084896e+18, Actions 43, Mean reward 1395.3795958483772, Final reward 3.0,  Reward 4951.20215877212, Record 6407.551339634509
Game 96, Game Loss -4.32103319825736e+19, Mean Loss -8.148712120645583e+18, Actions 19, Mean reward 1405.1272449905498, Final reward 2.0,  Reward 2331.1539134969335, Record 6407.551339634509
Game 97, Game Loss -3.391497931749484e+19, Mean Loss -8.414344234311614e+18, Actions 7, Mean reward 1397.2393352483791, Final reward 0.0,  Reward 640.0, Record 6407.551339634509
Game 98, Game Loss -5.204394034152132e+19, Mean Loss -8.859544188979511e+18, Actions 18, Mean reward 1402.1712953843285, Final reward 1.5,  Reward 1880.5714285714287, Record 6407.551339634509
Game 99, Game Loss -4.145573132696866e+19, Mean Loss -9.188798443475173e+18, Actions 25, Mean reward 1414.6083648902502, Final reward 0.5,  Reward 2633.4411764705874, Record 6407.551339634509
Game 100, Game Loss -5.809111355680096e+19, Mean Loss -9.677821083335524e+18, Actions 10, Mean reward 1410.5122812413476, Final reward 0.5,  Reward 1005.0, Record 6407.551339634509
Game 101, Game Loss -3.1868895930343227e+19, Mean Loss -9.897534292890747e+18, Actions 5, Mean reward 1400.7052289518294, Final reward 0.0,  Reward 420.0, Record 6407.551339634509
Game 102, Game Loss -4.637031520666229e+19, Mean Loss -1.025511086740629e+19, Actions 20, Mean reward 1408.4915413239594, Final reward 1.5,  Reward 2194.909090909091, Record 6407.551339634509
Game 103, Game Loss -3.8012364373983494e+19, Mean Loss -1.0524598968350933e+19, Actions 8, Mean reward 1401.8071574276103, Final reward 0.0,  Reward 720.0, Record 6407.551339634509
Game 104, Game Loss -5.643049035904529e+19, Mean Loss -1.0966001209856492e+19, Actions 14, Mean reward 1401.0878578369602, Final reward 0.5,  Reward 1327.0, Record 6407.551339634509
Game 105, Game Loss -6.40991133718062e+19, Mean Loss -1.1472031645331096e+19, Actions 10, Mean reward 1397.049009393322, Final reward 0.0,  Reward 977.0087712549571, Record 6407.551339634509
Game 106, Game Loss -4.509281903462842e+19, Mean Loss -1.1789208864107266e+19, Actions 7, Mean reward 1389.9070376065924, Final reward 0.0,  Reward 640.0, Record 6407.551339634509
Game 107, Game Loss -5.112431761214249e+19, Mean Loss -1.215682617880766e+19, Actions 9, Mean reward 1384.7163176289607, Final reward 0.5,  Reward 834.5, Record 6407.551339634509
Game 108, Game Loss -5.192726896367475e+19, Mean Loss -1.2525071314647515e+19, Actions 7, Mean reward 1378.4087591323962, Final reward 0.5,  Reward 703.5, Record 6407.551339634509
Game 109, Game Loss -4.6084692872091664e+19, Mean Loss -1.283295656065735e+19, Actions 6, Mean reward 1370.8056206694077, Final reward 0.5,  Reward 549.6666666666666, Record 6407.551339634509
Game 110, Game Loss -5.507705311790419e+19, Mean Loss -1.3216993982006952e+19, Actions 6, Mean reward 1363.2528422996859, Final reward 0.0,  Reward 540.0, Record 6407.551339634509
Game 111, Game Loss -6.049957618525825e+19, Mean Loss -1.3642962378793419e+19, Actions 11, Mean reward 1360.75056444113, Final reward 0.5,  Reward 1085.5, Record 6407.551339634509
Game 112, Game Loss -5.6358832987239875e+19, Mean Loss -1.4024355474678219e+19, Actions 7, Mean reward 1354.6143986871916, Final reward 0.5,  Reward 673.5, Record 6407.551339634509
Game 113, Game Loss -6.620131363341625e+19, Mean Loss -1.4486098681297633e+19, Actions 24, Mean reward 1365.1753332120836, Final reward 1.0,  Reward 2548.0, Record 6407.551339634509
Game 114, Game Loss -6.188623626974423e+19, Mean Loss -1.4901888898945778e+19, Actions 30, Mean reward 1379.6913390611005, Final reward 1.0,  Reward 3020.0000000000005, Record 6407.551339634509
Game 115, Game Loss -8.262549287369232e+19, Mean Loss -1.5490789525805859e+19, Actions 16, Mean reward 1380.7375013301344, Final reward 0.0,  Reward 1500.0, Record 6407.551339634509
Game 116, Game Loss -7.990223127010974e+19, Mean Loss -1.6046060490018783e+19, Actions 9, Mean reward 1376.3733849393573, Final reward 0.5,  Reward 874.5, Record 6407.551339634509
Game 117, Game Loss -4.9918962597030265e+19, Mean Loss -1.633557399624011e+19, Actions 6, Mean reward 1369.6750369199326, Final reward 1.0,  Reward 592.6666666666667, Record 6407.551339634509
Game 118, Game Loss -8.10708450046682e+19, Mean Loss -1.68841775219422e+19, Actions 11, Mean reward 1367.1438925392551, Final reward 1.0,  Reward 1071.0, Record 6407.551339634509
Game 119, Game Loss -6.133386801622863e+19, Mean Loss -1.7257703612130263e+19, Actions 6, Mean reward 1360.7225152910262, Final reward 0.5,  Reward 603.0, Record 6407.551339634509
Game 120, Game Loss -6.979234059996522e+19, Mean Loss -1.7695491758915322e+19, Actions 6, Mean reward 1353.7164943302676, Final reward 0.0,  Reward 520.0, Record 6407.551339634509
Game 121, Game Loss -8.123998507739224e+19, Mean Loss -1.8220653696713228e+19, Actions 16, Mean reward 1355.4323359749212, Final reward 0.5,  Reward 1561.3333333333333, Record 6407.551339634509
Game 122, Game Loss -1.0180983332777912e+20, Mean Loss -1.890580996951533e+19, Actions 13, Mean reward 1354.158300434143, Final reward 0.0,  Reward 1200.0, Record 6407.551339634509
Game 123, Game Loss -5.95643008083464e+19, Mean Loss -1.923636714528991e+19, Actions 5, Mean reward 1346.8548454170634, Final reward 0.5,  Reward 455.8333333333333, Record 6407.551339634509
