Command main.py play --no-gui --agents imitation_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 96, Game Loss 5.678539276123047, Mean Loss 6.984329700469971, Actions 29, Mean reward -195.83333333333334, Reward -400, Record 2400
Game 97, Game Loss 4.758398532867432, Mean Loss 6.9613823890686035, Actions 15, Mean reward -197.93814432989691, Reward -400, Record 2400
Game 98, Game Loss 5.800192832946777, Mean Loss 6.949533462524414, Actions 50, Mean reward -180.6122448979592, Reward 1500, Record 2400
Game 99, Game Loss 5.774456977844238, Mean Loss 6.937664031982422, Actions 138, Mean reward -195.95959595959596, Reward -1700, Record 2400
Game 100, Game Loss 6.449808597564697, Mean Loss 6.932785511016846, Actions 7, Mean reward -192.0, Reward 200, Record 2400
Game 101, Game Loss 6.453354835510254, Mean Loss 6.928039073944092, Actions 40, Mean reward -185.14851485148515, Reward 500, Record 2400
Game 102, Game Loss 5.829787254333496, Mean Loss 6.917271614074707, Actions 67, Mean reward -173.52941176470588, Reward 1000, Record 2400
Game 103, Game Loss 6.229367256164551, Mean Loss 6.910593032836914, Actions 86, Mean reward -165.04854368932038, Reward 700, Record 2400
Game 104, Game Loss 6.553531169891357, Mean Loss 6.907159805297852, Actions 23, Mean reward -157.69230769230768, Reward 600, Record 2400
Game 105, Game Loss 6.160295486450195, Mean Loss 6.900046348571777, Actions 34, Mean reward -147.61904761904762, Reward 900, Record 2400
Game 106, Game Loss 5.431265830993652, Mean Loss 6.886189937591553, Actions 67, Mean reward -133.0188679245283, Reward 1400, Record 2400
Game 107, Game Loss 5.165740489959717, Mean Loss 6.870110988616943, Actions 16, Mean reward -123.3644859813084, Reward 900, Record 2400
Game 108, Game Loss 4.501973628997803, Mean Loss 6.848183631896973, Actions 12, Mean reward -123.14814814814815, Reward -100, Record 2400
Game 109, Game Loss 4.848029613494873, Mean Loss 6.829833507537842, Actions 34, Mean reward -117.43119266055047, Reward 500, Record 2400
Game 110, Game Loss 5.00679349899292, Mean Loss 6.813260078430176, Actions 33, Mean reward -118.18181818181819, Reward -200, Record 2400
Game 111, Game Loss 6.442133903503418, Mean Loss 6.8099164962768555, Actions 5, Mean reward -117.11711711711712, Reward 0, Record 2400
Game 112, Game Loss 5.75668478012085, Mean Loss 6.80051326751709, Actions 149, Mean reward -123.21428571428571, Reward -800, Record 2400
Game 113, Game Loss 6.372408866882324, Mean Loss 6.796724796295166, Actions 32, Mean reward -114.15929203539822, Reward 900, Record 2400
Game 114, Game Loss 5.442094802856445, Mean Loss 6.784842014312744, Actions 45, Mean reward -97.36842105263158, Reward 1800, Record 2400
Game 115, Game Loss 5.564962387084961, Mean Loss 6.774234294891357, Actions 37, Mean reward -87.82608695652173, Reward 1000, Record 2400
Game 116, Game Loss 5.051022052764893, Mean Loss 6.759378910064697, Actions 19, Mean reward -85.34482758620689, Reward 200, Record 2400
Game 117, Game Loss 4.847227573394775, Mean Loss 6.743035793304443, Actions 11, Mean reward -91.45299145299145, Reward -800, Record 2400
Game 118, Game Loss 5.638439655303955, Mean Loss 6.7336745262146, Actions 71, Mean reward -94.0677966101695, Reward -400, Record 2400
Game 119, Game Loss 6.259239673614502, Mean Loss 6.729687690734863, Actions 72, Mean reward -100.84033613445378, Reward -900, Record 2400
