Command main.py play --no-gui --agents simple_net_q rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 79, Game Loss 43.92912292480469, Mean Loss 224156112.0, Actions 9, Mean reward -10.403892872247317, Final reward 0.0,  Reward 80.0, Record 7297.5
Game 80, Game Loss 43.83605194091797, Mean Loss 221354160.0, Actions 7, Mean reward -10.773844211344226, Final reward 0.0,  Reward -40.0, Record 7297.5
Game 81, Game Loss 48.17790603637695, Mean Loss 218621392.0, Actions 25, Mean reward 7.136943988795826, Final reward 0.0,  Reward 1440.0, Record 7297.5
Game 82, Game Loss 58.490299224853516, Mean Loss 215955280.0, Actions 41, Mean reward 35.83039589137149, Final reward 0.0,  Reward 2360.0, Record 7297.5
Game 83, Game Loss 80.01872253417969, Mean Loss 213353408.0, Actions 38, Mean reward 63.83243931436701, Final reward 0.0,  Reward 2360.0, Record 7297.5
Game 84, Game Loss 67.99967193603516, Mean Loss 210813488.0, Actions 33, Mean reward 85.48522773522772, Final reward 1.0,  Reward 1882.666666666667, Record 7297.5
Game 85, Game Loss 59.121543884277344, Mean Loss 208333328.0, Actions 41, Mean reward 116.0175589935713, Final reward 0.0,  Reward 2680.733384694432, Record 7297.5
Game 86, Game Loss 65.74701690673828, Mean Loss 205910848.0, Actions 37, Mean reward 142.63944784248326, Final reward 0.5,  Reward 2405.5, Record 7297.5
Game 87, Game Loss 75.9948959350586, Mean Loss 203544064.0, Actions 5, Mean reward 141.2297990167076, Final reward 0.0,  Reward 20.0, Record 7297.5
Game 88, Game Loss 65.06365966796875, Mean Loss 201231056.0, Actions 37, Mean reward 166.43457402788138, Final reward 0.5,  Reward 2359.25, Record 7297.5
Game 89, Game Loss 51.939517974853516, Mean Loss 198970032.0, Actions 19, Mean reward 173.18250016239955, Final reward 0.5,  Reward 767.0, Record 7297.5
Game 90, Game Loss 45.07646179199219, Mean Loss 196759264.0, Actions 94, Mean reward 240.0748292009651, Final reward 2.0,  Reward 6193.492113633299, Record 7297.5
Game 91, Game Loss 45.15781021118164, Mean Loss 194597072.0, Actions 5, Mean reward 234.70038052842702, Final reward 0.5,  Reward -249.0, Record 7297.5
Game 92, Game Loss 37.94708251953125, Mean Loss 192481888.0, Actions 12, Mean reward 239.97537639224848, Final reward 0.0,  Reward 720.0, Record 7297.5
Game 93, Game Loss 33.85932159423828, Mean Loss 190412176.0, Actions 39, Mean reward 272.6553413903116, Final reward 0.5,  Reward 3279.212121212121, Record 7297.5
Game 94, Game Loss 34.56304168701172, Mean Loss 188386528.0, Actions 27, Mean reward 288.38773137552107, Final reward 0.5,  Reward 1751.5, Record 7297.5
Game 95, Game Loss 30.05942153930664, Mean Loss 186403504.0, Actions 17, Mean reward 296.58364999262085, Final reward 0.5,  Reward 1067.0, Record 7297.5
Game 96, Game Loss 32.4870719909668, Mean Loss 184461808.0, Actions 18, Mean reward 304.7442369718644, Final reward 0.0,  Reward 1080.0, Record 7297.5
Game 97, Game Loss 31.88676643371582, Mean Loss 182560128.0, Actions 12, Mean reward 308.6128530855565, Final reward 0.0,  Reward 680.0, Record 7297.5
Game 98, Game Loss 35.7878303527832, Mean Loss 180697280.0, Actions 12, Mean reward 310.1576198908059, Final reward 0.0,  Reward 460.0, Record 7297.5
Game 99, Game Loss 41.2844352722168, Mean Loss 178872048.0, Actions 10, Mean reward 310.4590580737271, Final reward 0.0,  Reward 340.0, Record 7297.5
