Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 126, Game Loss -2.2340046138138794e+20, Mean Loss -5.02771878834062e+19, Actions 18, Mean reward 795.6524690678646, Final reward 0.0,  Reward 1248.0, Record 2707.2111025509275
Game 127, Game Loss -2.1190141693438565e+20, Mean Loss -5.1549824214045295e+19, Actions 20, Mean reward 800.7890637996137, Final reward 0.0,  Reward 1448.0, Record 2707.2111025509275
Game 128, Game Loss -2.3377703639782628e+20, Mean Loss -5.297347186968966e+19, Actions 12, Mean reward 798.4391492386792, Final reward 0.0,  Reward 500.0, Record 2707.2111025509275
Game 129, Game Loss -2.230734402350083e+20, Mean Loss -5.429207658246282e+19, Actions 19, Mean reward 798.0481480817903, Final reward 0.0,  Reward 748.0, Record 2707.2111025509275
Game 130, Game Loss -1.6036542457661778e+20, Mean Loss -5.5108024161435386e+19, Actions 5, Mean reward 790.5247007888534, Final reward 0.0,  Reward -180.0, Record 2707.2111025509275
Game 131, Game Loss -2.4344550833379082e+20, Mean Loss -5.6545714779589706e+19, Actions 12, Mean reward 788.45962673703, Final reward 0.0,  Reward 520.0, Record 2707.2111025509275
Game 132, Game Loss -2.051042712358465e+20, Mean Loss -5.7671157289595175e+19, Actions 7, Mean reward 782.4864477465981, Final reward 0.0,  Reward 0.0, Record 2707.2111025509275
Game 133, Game Loss -2.5629035501319094e+20, Mean Loss -5.916453157462658e+19, Actions 18, Mean reward 784.4827902447439, Final reward 0.0,  Reward 1048.0, Record 2707.2111025509275
Game 134, Game Loss -1.6121614750935364e+20, Mean Loss -5.9926110502628884e+19, Actions 5, Mean reward 778.7776947951562, Final reward 0.0,  Reward 20.0, Record 2707.2111025509275
Game 135, Game Loss -2.5761710490810266e+20, Mean Loss -6.139048846701258e+19, Actions 19, Mean reward 780.2682303892663, Final reward 0.0,  Reward 980.0, Record 2707.2111025509275
Game 136, Game Loss -2.4965011402198195e+20, Mean Loss -6.277475161615001e+19, Actions 18, Mean reward 782.2368463422863, Final reward 0.0,  Reward 1048.0, Record 2707.2111025509275
Game 137, Game Loss -2.5681089020605917e+20, Mean Loss -6.419107652435339e+19, Actions 9, Mean reward 777.9869423543864, Final reward 0.0,  Reward 200.0, Record 2707.2111025509275
Game 138, Game Loss -2.678573052983247e+20, Mean Loss -6.5666915797945025e+19, Actions 32, Mean reward 784.6681963952966, Final reward 0.0,  Reward 1700.0, Record 2707.2111025509275
Game 139, Game Loss -3.063282671761605e+20, Mean Loss -6.7398290369924825e+19, Actions 26, Mean reward 789.9583532557622, Final reward 0.0,  Reward 1520.0, Record 2707.2111025509275
Game 140, Game Loss -1.836473106158909e+20, Mean Loss -6.822864155122126e+19, Actions 7, Mean reward 783.1729364467924, Final reward 0.0,  Reward -160.0, Record 2707.2111025509275
Game 141, Game Loss -2.9148982119764905e+20, Mean Loss -6.981205264442799e+19, Actions 26, Mean reward 786.4695822875952, Final reward 0.0,  Reward 1248.0, Record 2707.2111025509275
Game 142, Game Loss -3.1844896670141435e+20, Mean Loss -7.156302051361476e+19, Actions 11, Mean reward 783.7479655109221, Final reward 0.0,  Reward 400.0, Record 2707.2111025509275
Game 143, Game Loss -2.6889783032629376e+20, Mean Loss -7.294298237326433e+19, Actions 6, Mean reward 777.5679098080485, Final reward 0.0,  Reward -100.0, Record 2707.2111025509275
Game 144, Game Loss -2.848204475463505e+20, Mean Loss -7.441434883355417e+19, Actions 7, Mean reward 772.1681326566037, Final reward 0.0,  Reward 0.0, Record 2707.2111025509275
Game 145, Game Loss -3.1172614798891287e+20, Mean Loss -7.605098508563828e+19, Actions 12, Mean reward 768.9118007072478, Final reward 0.0,  Reward 300.0, Record 2707.2111025509275
Game 146, Game Loss -3.211733278166247e+20, Mean Loss -7.772990415688014e+19, Actions 11, Mean reward 766.3850075517188, Final reward 0.0,  Reward 400.0, Record 2707.2111025509275
Game 147, Game Loss -2.4836477613301878e+20, Mean Loss -7.889068057255582e+19, Actions 5, Mean reward 759.8109598812989, Final reward 0.0,  Reward -200.0, Record 2707.2111025509275
Game 148, Game Loss -2.7286184242330993e+20, Mean Loss -8.020129843286481e+19, Actions 6, Mean reward 754.0014263685874, Final reward 0.0,  Reward -100.0, Record 2707.2111025509275
