Command main.py play --no-gui --agents ppo_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 114, Game Loss -3.0575041104052224e+16, Mean Loss -2.627214315094016e+16, Actions 12, Mean reward 2473.3242055747723, Final reward 0.5,  Reward 1166.0, Record 8014.5
Game 115, Game Loss -8.126621007898214e+16, Mean Loss -2.675035339961139e+16, Actions 14, Mean reward 2465.0027214858924, Final reward 1.5,  Reward 1516.3535353535356, Record 8014.5
Game 116, Game Loss -4.048397948000666e+16, Mean Loss -2.686874632060928e+16, Actions 19, Mean reward 2460.6876510028633, Final reward 1.0,  Reward 1964.4545454545453, Record 8014.5
Game 117, Game Loss -4.410384663655219e+16, Mean Loss -2.701605510892749e+16, Actions 16, Mean reward 2453.774178672077, Final reward 1.0,  Reward 1651.8113883008423, Record 8014.5
Game 118, Game Loss -4.999161543917568e+16, Mean Loss -2.721076315632435e+16, Actions 45, Mean reward 2471.778917270901, Final reward 1.0,  Reward 4578.333333333334, Record 8014.5
Game 119, Game Loss -1.4162390088574566e+17, Mean Loss -2.817221735533773e+16, Actions 42, Mean reward 2485.4614473778684, Final reward 0.0,  Reward 4100.0, Record 8014.5
Game 120, Game Loss -9.2332133187584e+16, Mean Loss -2.870688280163123e+16, Actions 63, Mean reward 2520.631427039257, Final reward 2.0,  Reward 6705.859006744513, Record 8014.5
Game 121, Game Loss -4.8748415680512e+16, Mean Loss -2.8872516067917824e+16, Actions 19, Mean reward 2519.6315393913706, Final reward 3.0,  Reward 2399.645021645021, Record 8014.5
Game 122, Game Loss -1.2249980308606157e+17, Mean Loss -2.963995370926899e+16, Actions 44, Mean reward 2537.415199685196, Final reward 2.5,  Reward 4689.238095238095, Record 8014.5
Game 123, Game Loss -1.2434116723500646e+17, Mean Loss -3.040988457913549e+16, Actions 15, Mean reward 2533.5369369957953, Final reward 1.0,  Reward 2060.3888888888887, Record 8014.5
Game 124, Game Loss -1.5349507023280538e+17, Mean Loss -3.1402507355815936e+16, Actions 12, Mean reward 2521.976155245829, Final reward 0.0,  Reward 1100.0, Record 8014.5
Game 125, Game Loss -3.650136024463442e+17, Mean Loss -3.407139573858304e+16, Actions 11, Mean reward 2509.8003460038626, Final reward 0.0,  Reward 1000.0, Record 8014.5
Game 126, Game Loss -1.9868456863766938e+17, Mean Loss -3.537784962809856e+16, Actions 23, Mean reward 2507.8297083371654, Final reward 0.5,  Reward 2261.5, Record 8014.5
