Command main.py play --no-gui --agents simple_net_q rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 123, Game Loss 15.157308578491211, Mean Loss 33875340.0, Actions 10, Mean reward 888.2263338630968, Final reward 0.5,  Reward 243.5, Record 7168.460466362905
Game 124, Game Loss 42.434505462646484, Mean Loss 33602152.0, Actions 5, Mean reward 879.2970892351686, Final reward 0.5,  Reward -219.0, Record 7168.460466362905
Game 125, Game Loss 28.20158576965332, Mean Loss 33333334.0, Actions 5, Mean reward 870.5027125212872, Final reward 0.0,  Reward -220.0, Record 7168.460466362905
Game 126, Game Loss 34.468048095703125, Mean Loss 33068784.0, Actions 5, Mean reward 861.6891989298484, Final reward 0.0,  Reward -240.0, Record 7168.460466362905
Game 127, Game Loss 6.903535842895508, Mean Loss 32808400.0, Actions 20, Mean reward 863.4081816154402, Final reward 0.0,  Reward 1080.0, Record 7168.460466362905
Game 128, Game Loss 4.023552417755127, Mean Loss 32552084.0, Actions 40, Mean reward 885.3576284416189, Final reward 1.0,  Reward 3672.9373753663112, Record 7168.460466362905
Game 129, Game Loss 35.75762939453125, Mean Loss 32299742.0, Actions 12, Mean reward 877.0990421746296, Final reward 0.0,  Reward -180.0, Record 7168.460466362905
Game 130, Game Loss 13.698179244995117, Mean Loss 32051282.0, Actions 19, Mean reward 879.517938431406, Final reward 1.0,  Reward 1191.5555555555552, Record 7168.460466362905
Game 131, Game Loss 10.330391883850098, Mean Loss 31806616.0, Actions 15, Mean reward 877.42619844338, Final reward 0.5,  Reward 605.5, Record 7168.460466362905
Game 132, Game Loss 42.1308479309082, Mean Loss 31565658.0, Actions 5, Mean reward 869.1123636066877, Final reward 0.0,  Reward -220.0, Record 7168.460466362905
Game 133, Game Loss 6.615209579467773, Mean Loss 31328322.0, Actions 20, Mean reward 871.9649022261863, Final reward 0.5,  Reward 1248.5, Record 7168.460466362905
Game 134, Game Loss 36.253170013427734, Mean Loss 31094528.0, Actions 27, Mean reward 867.6492437518616, Final reward 1.0,  Reward 293.66666666666663, Record 7168.460466362905
Game 135, Game Loss 8.854724884033203, Mean Loss 30864198.0, Actions 20, Mean reward 868.1851752796256, Final reward 0.0,  Reward 940.0, Record 7168.460466362905
Game 136, Game Loss 15.394558906555176, Mean Loss 30637256.0, Actions 38, Mean reward 888.098522810337, Final reward 2.0,  Reward 3576.4004394563844, Record 7168.460466362905
Game 137, Game Loss 16.979665756225586, Mean Loss 30413626.0, Actions 12, Mean reward 885.34719539323, Final reward 0.5,  Reward 511.16666666666663, Record 7168.460466362905
Game 138, Game Loss 21.21503257751465, Mean Loss 30193238.0, Actions 11, Mean reward 880.6707664411051, Final reward 0.0,  Reward 240.0, Record 7168.460466362905
Game 139, Game Loss 28.912216186523438, Mean Loss 29976020.0, Actions 6, Mean reward 873.6155810710252, Final reward 0.0,  Reward -100.0, Record 7168.460466362905
Game 140, Game Loss 36.910396575927734, Mean Loss 29761906.0, Actions 5, Mean reward 865.661184063375, Final reward 0.0,  Reward -240.0, Record 7168.460466362905
Game 141, Game Loss 24.112031936645508, Mean Loss 29550828.0, Actions 5, Mean reward 857.8196153820745, Final reward 0.0,  Reward -240.0, Record 7168.460466362905
Game 142, Game Loss 25.72001838684082, Mean Loss 29342724.0, Actions 5, Mean reward 851.3560969638909, Final reward 0.0,  Reward -60.0, Record 7168.460466362905
Game 143, Game Loss 33.98127746582031, Mean Loss 29137530.0, Actions 5, Mean reward 843.7242361459615, Final reward 0.0,  Reward -240.0, Record 7168.460466362905
Game 144, Game Loss 28.129240036010742, Mean Loss 28935186.0, Actions 5, Mean reward 837.5872622838368, Final reward 0.0,  Reward -40.0, Record 7168.460466362905
Game 145, Game Loss 28.113187789916992, Mean Loss 28735632.0, Actions 5, Mean reward 830.3004535784311, Final reward 0.5,  Reward -219.0, Record 7168.460466362905
Game 146, Game Loss 21.342016220092773, Mean Loss 28538814.0, Actions 5, Mean reward 823.3874367730994, Final reward 0.5,  Reward -179.0, Record 7168.460466362905
Game 147, Game Loss 29.890779495239258, Mean Loss 28344672.0, Actions 5, Mean reward 816.0242569311055, Final reward 0.5,  Reward -259.0, Record 7168.460466362905
Game 148, Game Loss 34.254817962646484, Mean Loss 28153154.0, Actions 5, Mean reward 808.753822762652, Final reward 0.0,  Reward -260.0, Record 7168.460466362905
Game 149, Game Loss 44.767738342285156, Mean Loss 27964206.0, Actions 6, Mean reward 803.9344458761019, Final reward 1.0,  Reward 90.66666666666669, Record 7168.460466362905
Game 150, Game Loss 18.18864631652832, Mean Loss 27777778.0, Actions 27, Mean reward 812.3048829035945, Final reward 0.5,  Reward 2059.5, Record 7168.460466362905
Game 151, Game Loss 25.313934326171875, Mean Loss 27593820.0, Actions 10, Mean reward 807.3227313611866, Final reward 0.0,  Reward 60.0, Record 7168.460466362905
Game 152, Game Loss 9.0790376663208, Mean Loss 27412282.0, Actions 26, Mean reward 813.2679765495999, Final reward 0.5,  Reward 1711.0, Record 7168.460466362905
Game 153, Game Loss 23.815345764160156, Mean Loss 27233116.0, Actions 7, Mean reward 808.6191662453541, Final reward 0.5,  Reward 102.0, Record 7168.460466362905
Game 154, Game Loss 22.56877326965332, Mean Loss 27056278.0, Actions 7, Mean reward 804.7969638671375, Final reward 0.0,  Reward 220.0, Record 7168.460466362905
Game 155, Game Loss 18.237281799316406, Mean Loss 26881720.0, Actions 32, Mean reward 802.6993490464894, Final reward 1.5,  Reward 479.66666666666674, Record 7168.460466362905
Game 156, Game Loss 28.43950843811035, Mean Loss 26709402.0, Actions 5, Mean reward 795.8871737320887, Final reward 0.0,  Reward -260.0, Record 7168.460466362905
Game 157, Game Loss 27.337936401367188, Mean Loss 26539278.0, Actions 5, Mean reward 790.3178286764704, Final reward 0.5,  Reward -78.5, Record 7168.460466362905
Game 158, Game Loss 36.77412033081055, Mean Loss 26371308.0, Actions 6, Mean reward 785.1987284949737, Final reward 0.5,  Reward -18.5, Record 7168.460466362905
Game 159, Game Loss 24.22916030883789, Mean Loss 26205452.0, Actions 5, Mean reward 778.6314408943764, Final reward 0.5,  Reward -259.0, Record 7168.460466362905
Game 160, Game Loss 23.320575714111328, Mean Loss 26041668.0, Actions 6, Mean reward 771.6399943887866, Final reward 0.0,  Reward -340.0, Record 7168.460466362905
Game 161, Game Loss 24.358625411987305, Mean Loss 25879918.0, Actions 5, Mean reward 765.4869509453779, Final reward 0.5,  Reward -219.0, Record 7168.460466362905
Game 162, Game Loss 15.245878219604492, Mean Loss 25720166.0, Actions 5, Mean reward 759.4098710012706, Final reward 0.5,  Reward -219.0, Record 7168.460466362905
Game 163, Game Loss 14.513164520263672, Mean Loss 25562372.0, Actions 23, Mean reward 767.6817037848126, Final reward 3.0,  Reward 2107.718614718614, Record 7168.460466362905
Game 164, Game Loss 17.775554656982422, Mean Loss 25406504.0, Actions 13, Mean reward 769.8726690056369, Final reward 1.0,  Reward 1127.0, Record 7168.460466362905
Game 165, Game Loss 8.025214195251465, Mean Loss 25252526.0, Actions 19, Mean reward 778.0438110790035, Final reward 3.0,  Reward 2118.1111111111113, Record 7168.460466362905
Game 166, Game Loss 40.561038970947266, Mean Loss 25100402.0, Actions 7, Mean reward 771.9110170363589, Final reward 0.0,  Reward -240.0, Record 7168.460466362905
Game 167, Game Loss 7.289482593536377, Mean Loss 24950100.0, Actions 6, Mean reward 771.7349031618896, Final reward 0.5,  Reward 742.5, Record 7168.460466362905
