Command main.py play --no-gui --agents imitation_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 98, Game Loss 0.07705894857645035, Mean Loss 0.11233298480510712, Actions 7, Mean reward -645.9183673469388, Reward 0, Record 200
Game 99, Game Loss 3.262459358666092e-05, Mean Loss 0.11119863390922546, Actions 5, Mean reward -643.4343434343434, Reward -400, Record 200
Game 100, Game Loss 0.07331642508506775, Mean Loss 0.11081981658935547, Actions 9, Mean reward -645.0, Reward -800, Record 200
Game 101, Game Loss 0.03174711391329765, Mean Loss 0.11003691703081131, Actions 10, Mean reward -647.5247524752475, Reward -900, Record 200
Game 102, Game Loss 0.09746496379375458, Mean Loss 0.1099136546254158, Actions 15, Mean reward -649.0196078431372, Reward -800, Record 200
Game 103, Game Loss 0.059045106172561646, Mean Loss 0.10941978543996811, Actions 8, Mean reward -647.5728155339806, Reward -500, Record 200
Game 104, Game Loss 0.06618308275938034, Mean Loss 0.10900405049324036, Actions 23, Mean reward -647.1153846153846, Reward -600, Record 200
Game 105, Game Loss 0.070160873234272, Mean Loss 0.1086341142654419, Actions 8, Mean reward -643.8095238095239, Reward -300, Record 200
Game 106, Game Loss 0.09541212022304535, Mean Loss 0.1085093766450882, Actions 15, Mean reward -641.5094339622641, Reward -400, Record 200
Game 107, Game Loss 0.04402432218194008, Mean Loss 0.10790671408176422, Actions 10, Mean reward -642.0560747663551, Reward -700, Record 200
Game 108, Game Loss 0.052949458360672, Mean Loss 0.10739785432815552, Actions 24, Mean reward -650.0, Reward -1500, Record 200
Game 109, Game Loss 0.04432709887623787, Mean Loss 0.10681921988725662, Actions 13, Mean reward -649.5412844036697, Reward -600, Record 200
Game 110, Game Loss 0.037407007068395615, Mean Loss 0.10618820041418076, Actions 9, Mean reward -650.9090909090909, Reward -800, Record 200
Game 111, Game Loss 0.08553562313318253, Mean Loss 0.10600214451551437, Actions 8, Mean reward -649.5495495495495, Reward -500, Record 200
Game 112, Game Loss 0.003045036457479, Mean Loss 0.10508288443088531, Actions 6, Mean reward -648.2142857142857, Reward -500, Record 200
Game 113, Game Loss 0.013043236918747425, Mean Loss 0.104268379509449, Actions 6, Mean reward -646.9026548672566, Reward -500, Record 200
Game 114, Game Loss 0.10548221319913864, Mean Loss 0.10427902638912201, Actions 8, Mean reward -643.859649122807, Reward -300, Record 200
Game 115, Game Loss 0.10808032006025314, Mean Loss 0.10431207716464996, Actions 25, Mean reward -645.2173913043479, Reward -800, Record 200
Game 116, Game Loss 0.032376330345869064, Mean Loss 0.1036919429898262, Actions 7, Mean reward -643.1034482758621, Reward -400, Record 200
Game 117, Game Loss 0.06546749919652939, Mean Loss 0.10336523503065109, Actions 17, Mean reward -646.1538461538462, Reward -1000, Record 200
Game 118, Game Loss 0.05657153204083443, Mean Loss 0.10296868532896042, Actions 12, Mean reward -646.6101694915254, Reward -700, Record 200
Game 119, Game Loss 0.0023042908869683743, Mean Loss 0.10212276130914688, Actions 5, Mean reward -644.5378151260504, Reward -400, Record 200
