Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 68, Game Loss -1.2677629432610737e+20, Mean Loss -5.464297912139776e+19, Actions 6, Mean reward 189.23679495749423, Final reward 0.0,  Reward -100.0, Record 2396.0
Game 69, Game Loss -1.4035375879723418e+20, Mean Loss -5.588516337799397e+19, Actions 12, Mean reward 185.33481242187835, Final reward 0.0,  Reward -80.0, Record 2396.0
Game 70, Game Loss -1.3328681053742485e+20, Mean Loss -5.69909026396297e+19, Actions 6, Mean reward 181.54431510156581, Final reward 0.0,  Reward -80.0, Record 2396.0
Game 71, Game Loss -1.526917833927877e+20, Mean Loss -5.833880274021332e+19, Actions 7, Mean reward 179.55073319872685, Final reward 0.0,  Reward 40.0, Record 2396.0
Game 72, Game Loss -1.4622178198593051e+20, Mean Loss -5.955939698648652e+19, Actions 8, Mean reward 172.89030634874453, Final reward 0.0,  Reward -300.0, Record 2396.0
Game 73, Game Loss -1.0050880320886433e+20, Mean Loss -6.012035022679179e+19, Actions 6, Mean reward 171.89180900150146, Final reward 0.0,  Reward 100.0, Record 2396.0
Game 74, Game Loss -1.1974752990610745e+20, Mean Loss -6.092612072613767e+19, Actions 8, Mean reward 171.46083860958927, Final reward 0.0,  Reward 140.0, Record 2396.0
Game 75, Game Loss -1.5653328350619055e+20, Mean Loss -6.220088571128814e+19, Actions 15, Mean reward 164.00136076146143, Final reward 0.0,  Reward -388.0, Record 2396.0
Game 76, Game Loss -1.3404413655445091e+20, Mean Loss -6.314619303229181e+19, Actions 12, Mean reward 163.4223954882843, Final reward 0.0,  Reward 120.0, Record 2396.0
Game 77, Game Loss -1.7384265756775652e+20, Mean Loss -6.458381328170195e+19, Actions 19, Mean reward 159.94937736505983, Final reward 0.0,  Reward -104.0, Record 2396.0
Game 78, Game Loss -1.060762551028988e+20, Mean Loss -6.5115765803313005e+19, Actions 5, Mean reward 155.59105201422574, Final reward 0.0,  Reward -180.0, Record 2396.0
Game 79, Game Loss -1.6252688851496495e+20, Mean Loss -6.634881971535217e+19, Actions 15, Mean reward 147.34306401404567, Final reward 0.0,  Reward -496.0, Record 2396.0
Game 80, Game Loss -1.7094540044810165e+20, Mean Loss -6.7656275380219675e+19, Actions 32, Mean reward 162.0012757138701, Final reward 0.0,  Reward 1320.0, Record 2396.0
Game 81, Game Loss -1.8854284655614493e+20, Mean Loss -6.914869968720468e+19, Actions 19, Mean reward 162.0753340383902, Final reward 0.0,  Reward 168.0, Record 2396.0
Game 82, Game Loss -1.9512684532856993e+20, Mean Loss -7.068502089641702e+19, Actions 11, Mean reward 155.2207567940196, Final reward 0.0,  Reward -400.0, Record 2396.0
Game 83, Game Loss -1.4082853671420088e+20, Mean Loss -7.15301231257117e+19, Actions 5, Mean reward 151.18195249529646, Final reward 0.0,  Reward -180.0, Record 2396.0
Game 84, Game Loss -1.6964481013383797e+20, Mean Loss -7.26981563181307e+19, Actions 9, Mean reward 147.2393102036858, Final reward 0.0,  Reward -180.0, Record 2396.0
Game 85, Game Loss -1.9863629293038443e+20, Mean Loss -7.417978342093095e+19, Actions 22, Mean reward 154.21296537776007, Final reward 0.0,  Reward 740.0, Record 2396.0
Game 86, Game Loss -1.8596608388184723e+20, Mean Loss -7.547962606728774e+19, Actions 8, Mean reward 151.4895588036001, Final reward 0.0,  Reward -80.0, Record 2396.0
Game 87, Game Loss -1.7121727009123205e+20, Mean Loss -7.658005248873805e+19, Actions 5, Mean reward 150.2080696219495, Final reward 0.0,  Reward 40.0, Record 2396.0
Game 88, Game Loss -1.9392674158099195e+20, Mean Loss -7.791354019090478e+19, Actions 10, Mean reward 149.86479610351827, Final reward 0.0,  Reward 120.0, Record 2396.0
Game 89, Game Loss -2.2087503270596785e+20, Mean Loss -7.951984751424831e+19, Actions 17, Mean reward 145.93373097875963, Final reward 0.0,  Reward -200.0, Record 2396.0
Game 90, Game Loss -1.593986108081748e+20, Mean Loss -8.040739089237515e+19, Actions 6, Mean reward 140.9789117456623, Final reward 0.0,  Reward -300.0, Record 2396.0
Game 91, Game Loss -1.6639043163748146e+20, Mean Loss -8.13522584087277e+19, Actions 7, Mean reward 137.45167095724844, Final reward 0.0,  Reward -180.0, Record 2396.0
Game 92, Game Loss -2.0029282594488477e+20, Mean Loss -8.264509936503882e+19, Actions 31, Mean reward 140.27284844684354, Final reward 0.0,  Reward 397.0, Record 2396.0
Game 93, Game Loss -2.380005860155557e+20, Mean Loss -8.431558298307238e+19, Actions 12, Mean reward 143.10862426999577, Final reward 0.0,  Reward 404.0, Record 2396.0
Game 94, Game Loss -2.2703662549928038e+20, Mean Loss -8.583389419182175e+19, Actions 11, Mean reward 143.9266176288256, Final reward 0.0,  Reward 220.0, Record 2396.0
Game 95, Game Loss -2.3516940514668367e+20, Mean Loss -8.740585277191356e+19, Actions 20, Mean reward 149.44317954852218, Final reward 0.0,  Reward 668.0, Record 2396.0
Game 96, Game Loss -2.3801458939564707e+20, Mean Loss -8.89746887389825e+19, Actions 17, Mean reward 152.2614797615584, Final reward 0.0,  Reward 420.0, Record 2396.0
Game 97, Game Loss -2.5709625305588564e+20, Mean Loss -9.070790609245045e+19, Actions 8, Mean reward 151.72270161968666, Final reward 0.0,  Reward 100.0, Record 2396.0
Game 98, Game Loss -1.9956176506162302e+20, Mean Loss -9.181865912710883e+19, Actions 9, Mean reward 148.33777609295518, Final reward 0.0,  Reward -180.0, Record 2396.0
Game 99, Game Loss -2.3863160013678287e+20, Mean Loss -9.330161883800194e+19, Actions 19, Mean reward 152.9000207788849, Final reward 0.0,  Reward 600.0, Record 2396.0
Game 100, Game Loss -2.1975921312172868e+20, Mean Loss -9.456618915133968e+19, Actions 14, Mean reward 147.41102057109606, Final reward 0.0,  Reward -396.0, Record 2396.0
Game 101, Game Loss -2.4405928211269445e+20, Mean Loss -9.604631652027964e+19, Actions 22, Mean reward 149.9515055159367, Final reward 0.0,  Reward 404.0, Record 2396.0
Game 102, Game Loss -2.9118521249629e+20, Mean Loss -9.795944036433081e+19, Actions 11, Mean reward 148.48139271676087, Final reward 0.0,  Reward 0.0, Record 2396.0
Game 103, Game Loss -2.3744259705859893e+20, Mean Loss -9.931364286556484e+19, Actions 5, Mean reward 147.2340005544622, Final reward 0.0,  Reward 20.0, Record 2396.0
Game 104, Game Loss -2.460872213589645e+20, Mean Loss -1.0072492321441998e+20, Actions 7, Mean reward 144.08751977990008, Final reward 0.0,  Reward -180.0, Record 2396.0
Game 105, Game Loss -3.1403607238528886e+20, Mean Loss -1.0275646006273612e+20, Actions 13, Mean reward 143.09621006771053, Final reward 0.0,  Reward 40.0, Record 2396.0
Game 106, Game Loss -2.9311908632378055e+20, Mean Loss -1.0455233198680126e+20, Actions 11, Mean reward 142.1236043123548, Final reward 0.0,  Reward 40.0, Record 2396.0
